,SID,NAME,ISO,YEAR,BASIN,SUB BASIN,NATURE,ISO_TIME,COORDS,TOTAL_HRS,DAY_HRS,NIGHT_HRS,USA_SSHS,WIND_CALC_MEAN,PRES_CALC_MEAN,STORM_SPD_MEAN,STORM_DR_MEAN,V_LAND_KN,34KN_POP,34KN_ASSETS,64KN_POP,64KN_ASSETS,96KN_POP,96KN_ASSETS,CPI,TOTAL_DAMAGE_(000$),TOTAL_DEATHS,"Air transport, freight (million ton-km)",Arable land (hectares per person),Cereal yield (kg per hectare),Food production index (2004-2006 = 100),GDP growth (annual %),GDP per capita (constant 2010 US$),Net flows from UN agencies US$,"Life expectancy at birth, total (years)",Mobile cellular subscriptions (per 100 people),Population density (people per sq. km of land area),Adjusted savings: education expenditure (% of GNI),Rural population (% of total population),Income_level_Final,TOTAL_AFFECTED,"Population, total",Population_2000,Population_2005,Population_2010,Population_2015,Population_2020,pop_max_34,pop_max_50,pop_max_64,Numeric,YEAR_tiff,coef_year,YEAR_tiff_c,pop_max_34_adj,pop_max_50_adj,pop_max_64_adj
10,1960173N08137,OLIVE,PHL,1960,WP,WP,TS,"['1960-06-25 12:00:00', '1960-06-25 15:00:00', '1960-06-25 18:00:00', '1960-06-25 21:00:00', '1960-06-26 00:00:00', '1960-06-26 03:00:00', '1960-06-26 06:00:00', '1960-06-26 09:00:00', '1960-06-26 12:00:00', '1960-06-26 15:00:00', '1960-06-26 18:00:00', '1960-06-26 21:00:00', '1960-06-27 00:00:00', '1960-06-27 03:00:00', '1960-06-27 06:00:00', '1960-06-27 09:00:00', '1960-06-27 12:00:00', '1960-06-25 03:00:00', '1960-06-25 06:00:00', '1960-06-25 09:00:00', '1960-06-27 15:00:00']","[[13.33, 125.2], [13.44, 124.68], [13.57, 124.17], [13.73, 123.61], [13.9, 123.1], [14.06, 122.72], [14.2, 122.41], [14.33, 122.11], [14.47, 121.83], [14.65, 121.56], [14.85, 121.27], [15.07, 120.96], [15.3, 120.62], [15.51, 120.22], [15.74, 119.8], [15.99, 119.44], [16.33, 119.07], [13.0, 127.05], [13.1, 126.4], [13.21, 125.78], [16.87, 118.64]]",3,3,0,0,79.79047619,968.3333332999998,9.428571429,296.4761905,131.2,53758818.0,489404000000.0,13260395.0,141361000000.0,2753569.0,22355219334.0,11.56821608,,100.0,,0.18044223399999998,996.3,25.68,,1059.467412,0.0,61.105,0.0,91.06500034,2.757732,69.703,Low_Middle,50000,26269734,77991755,86326250,93966780,102113212,109581078.0,47080872.0,28770226.0,8354355.5,608.0,2000,,Population_2000,15858111.975144655,9690590.80847564,2813973.050438947
11,1960273N10142,KIT,PHL,1960,WP,WP,TS,"['1960-10-05 15:00:00', '1960-10-05 18:00:00', '1960-10-05 21:00:00', '1960-10-06 00:00:00', '1960-10-06 03:00:00', '1960-10-06 06:00:00', '1960-10-06 09:00:00', '1960-10-06 12:00:00', '1960-10-06 15:00:00', '1960-10-06 18:00:00', '1960-10-06 21:00:00', '1960-10-07 00:00:00', '1960-10-07 03:00:00', '1960-10-07 06:00:00', '1960-10-07 09:00:00', '1960-10-07 12:00:00', '1960-10-07 15:00:00', '1960-10-07 18:00:00', '1960-10-05 03:00:00', '1960-10-05 06:00:00', '1960-10-05 09:00:00', '1960-10-05 12:00:00', '1960-10-07 21:00:00', '1960-10-08 00:00:00', '1960-10-08 03:00:00', '1960-10-08 06:00:00', '1960-10-08 09:00:00', '1960-10-08 12:00:00', '1960-10-08 15:00:00']","[[12.85, 126.02], [12.83, 125.79], [12.81, 125.57], [12.8, 125.3], [12.8, 124.89], [12.82, 124.44], [12.86, 124.04], [12.9, 123.63], [12.95, 123.19], [13.0, 122.73], [13.03, 122.28], [13.07, 121.83], [13.13, 121.41], [13.21, 121.0], [13.28, 120.59], [13.37, 120.23], [13.47, 119.95], [13.6, 119.69], [12.79, 127.17], [12.83, 126.81], [12.86, 126.52], [12.87, 126.27], [13.73, 119.4], [13.9, 119.13], [14.15, 118.9], [14.46, 118.69], [14.81, 118.53], [15.2, 118.33], [15.63, 118.02]]",0,0,0,-1,74.4,979.6666667000002,7.310344828,287.27586210000004,107.7,46670682.0,405154000000.0,10148577.0,103737000000.0,1954058.0,14156660526.0,11.56821608,,150.0,,0.18044223399999998,996.3,25.68,,1059.467412,0.0,61.105,0.0,91.06500034,2.757732,69.703,Low_Middle,375000,26269734,77991755,86326250,93966780,102113212,109581078.0,22560658.0,3270401.0,1389018.0,608.0,2000,,Population_2000,7599040.238612043,1101559.5731027466,467858.8574037345
12,1961241N18117,OLGA,HKG,1961,WP,WP,TS,['1961-08-31 09:00:00'],"[[22.04, 114.25]]",0,0,0,-1,38.0,995.0,11.0,291.0,71.7,8148473.0,1226020000000.0,182375.0,70599634630.0,0.0,0.0,11.69207506,,7.0,,0.0041034059999999995,2016.8,128.21,,3380.6600700000004,0.0,67.5487561,0.0,3105.9803920000004,2.0989835,14.707,High,1171,3168100,6665000,6813200,7024200,7291300,,,,,,2000,,Population_2000,,,
13,1963219N09146,CARMEN,PHL,1963,WP,WP,TS,"['1963-08-12 09:00:00', '1963-08-12 12:00:00', '1963-08-12 15:00:00', '1963-08-12 18:00:00', '1963-08-12 21:00:00', '1963-08-13 00:00:00', '1963-08-13 03:00:00', '1963-08-13 06:00:00', '1963-08-13 09:00:00', '1963-08-13 12:00:00', '1963-08-13 15:00:00', '1963-08-13 18:00:00', '1963-08-13 21:00:00', '1963-08-14 00:00:00', '1963-08-14 03:00:00', '1963-08-14 06:00:00', '1963-08-12 03:00:00', '1963-08-12 06:00:00', '1963-08-14 09:00:00', '1963-08-14 12:00:00']","[[12.3, 126.24], [12.57, 125.86], [12.82, 125.47], [13.08, 125.08], [13.4, 124.68], [13.73, 124.31], [14.03, 124.03], [14.32, 123.74], [14.61, 123.33], [14.91, 122.9], [15.26, 122.53], [15.61, 122.12], [15.92, 121.6], [16.2, 121.01], [16.46, 120.39], [16.72, 119.76], [11.87, 127.05], [12.06, 126.64], [17.01, 119.19], [17.3, 118.63]]",3,3,0,3,98.25833333,954.8875,10.35,303.9,133.5,51026948.0,438814000000.0,12321195.0,130691000000.0,2140975.0,24604616102.0,11.97891616,,1.0,,0.16751328099999999,1030.2,28.57,7.060487423,1136.494797,0.0,62.16,0.0,97.27293301,2.757732,68.923,Low_Middle,2000,29012625,77991755,86326250,93966780,102113212,109581078.0,27538298.0,4103970.0,1316759.75,608.0,2000,,Population_2000,10244138.152965656,1526660.6402337016,489829.42930113256
14,1964177N09142,WINNIE,PHL,1964,WP,WP,TS,"['1964-06-29 03:00:00', '1964-06-29 06:00:00', '1964-06-29 09:00:00', '1964-06-29 12:00:00', '1964-06-29 15:00:00', '1964-06-29 18:00:00', '1964-06-29 21:00:00', '1964-06-30 00:00:00', '1964-06-28 21:00:00', '1964-06-29 00:00:00', '1964-06-30 03:00:00', '1964-06-30 06:00:00']","[[14.69, 124.31], [14.67, 123.57], [14.61, 122.89], [14.56, 122.23], [14.57, 121.55], [14.61, 120.88], [14.63, 120.28], [14.73, 119.67], [14.52, 125.72], [14.64, 125.04], [15.0, 118.97], [15.33, 118.28]]",3,0,3,1,77.83333333,973.4583332999998,13.33333333,277.4166667,115.9,46604574.0,421511000000.0,33091754.0,272292000000.0,2586604.0,29457641084.0,12.13211749,8000.0,56.0,,0.161555806,1035.7,29.02,3.446982145,1138.543195,0.0,62.411,0.0,100.4448736,2.757732,68.66,Low_Middle,924288,29958688,77991755,86326250,93966780,102113212,109581078.0,41192224.0,26604066.0,14965040.0,608.0,2000,,Population_2000,15823018.559360692,10219322.706937522,5748466.158602535
15,1964234N13316,CLEO,HTI,1964,NAm,CS,TS,"['1964-08-24 15:00:00', '1964-08-24 18:00:00', '1964-08-24 21:00:00', '1964-08-25 00:00:00', '1964-08-25 03:00:00']","[[17.42, -72.43], [17.8, -73.1], [18.12, -73.87], [18.4, -74.6], [18.66, -75.14]]",12,0,12,4,129.8,961.4,13.6,296.2,145.2,9363761.0,20133618479.0,5096286.0,9160848399.0,2117798.0,4177158306.0,12.13211749,10000.0,100.0,,0.215432791,1056.6,68.34,-1.64735737,928.8394955,0.0,43.413999999999994,0.0,151.5833454,1.2844421999999998,82.83200000000001,Low_Middle,80000,4177637,8463806,9195288,9949322,10695542,,5787729.5,1074516.5,385684.0625,332.0,2000,,Population_2000,2856756.5118094035,530368.9483797833,190369.20385584363
16,1964245N20132,RUBY,HKG,1964,WP,WP,TS,"['1964-09-05 03:00:00', '1964-09-05 06:00:00']","[[21.89, 114.34], [22.13, 113.75]]",3,0,3,4,106.91666670000001,967.125,12.5,294.0,129.6,8148473.0,1226020000000.0,8148473.0,1226020000000.0,8148473.0,1226020000000.0,12.13211749,,44.0,,0.003424071,1396.2,115.93,8.628060341,4392.23754,0.0,69.10436585,0.0,3435.882353,2.0989835,13.853,High,300,3504600,6665000,6813200,7024200,7291300,,,,,,2000,,Population_2000,,,
17,1964278N07156,DOT,HKG,1964,WP,WP,TS,"['1964-10-12 15:00:00', '1964-10-12 18:00:00', '1964-10-12 21:00:00', '1964-10-12 09:00:00', '1964-10-12 12:00:00']","[[21.47, 114.69], [21.77, 114.58], [22.11, 114.51], [20.84, 114.93], [21.17, 114.81]]",21,0,21,2,87.66666667,976.9,6.8,344.4,94.6,8148473.0,1226020000000.0,8148473.0,1226020000000.0,0.0,0.0,12.13211749,,26.0,,0.003424071,1396.2,115.93,8.628060341,4392.23754,0.0,69.10436585,0.0,3435.882353,2.0989835,13.853,High,85,3504600,6665000,6813200,7024200,7291300,,,,,,2000,,Population_2000,,,
18,1964305N12128,IRIS,VNM,1964,WP,WP,TS,"['1964-11-03 21:00:00', '1964-11-04 00:00:00', '1964-11-04 03:00:00', '1964-11-04 06:00:00', '1964-11-04 09:00:00', '1964-11-04 12:00:00', '1964-11-04 15:00:00', '1964-11-04 18:00:00', '1964-11-03 15:00:00', '1964-11-03 18:00:00']","[[13.91, 110.24], [13.71, 109.89], [13.63, 109.49], [13.63, 109.08], [13.65, 108.66], [13.66, 108.28], [13.5, 108.15], [13.5, 107.8], [14.51, 110.98], [14.18, 110.6]]",21,0,21,0,53.72916667,996.4,7.6,252.4,84.3,8197178.0,62722208793.0,2449448.0,16299431036.0,0.0,0.0,12.13211749,50000.0,7000.0,,0.150897231,1909.8,22.54,,377.50828110000003,0.0,61.581,0.0,112.9988602,2.3,83.936,Low,700000,36779999,79910412,83832661,87967651,92677076,97338579.0,7491648.0,2619434.75,1120947.375,704.0,2000,,Population_2000,3448146.4811913623,1205635.2241753584,515933.3095611198
19,1964319N08141,LOUISE,PHL,1964,WP,WP,TS,"['1964-11-18 18:00:00', '1964-11-18 21:00:00', '1964-11-19 00:00:00', '1964-11-19 03:00:00', '1964-11-19 06:00:00', '1964-11-19 09:00:00', '1964-11-19 12:00:00', '1964-11-19 15:00:00', '1964-11-19 18:00:00', '1964-11-19 21:00:00', '1964-11-20 00:00:00', '1964-11-20 03:00:00', '1964-11-20 06:00:00', '1964-11-20 09:00:00', '1964-11-20 12:00:00', '1964-11-20 15:00:00', '1964-11-20 18:00:00', '1964-11-20 21:00:00', '1964-11-21 00:00:00', '1964-11-21 03:00:00', '1964-11-21 06:00:00', '1964-11-21 09:00:00', '1964-11-21 12:00:00', '1964-11-21 15:00:00', '1964-11-21 18:00:00', '1964-11-24 18:00:00', '1964-11-25 00:00:00', '1964-11-25 03:00:00', '1964-11-25 06:00:00', '1964-11-25 09:00:00', '1964-11-25 12:00:00', '1964-11-25 15:00:00', '1964-11-25 18:00:00', '1964-11-25 21:00:00', '1964-11-18 12:00:00', '1964-11-18 15:00:00', '1964-11-21 21:00:00', '1964-11-22 00:00:00', '1964-11-22 03:00:00', '1964-11-22 06:00:00', '1964-11-22 09:00:00', '1964-11-22 12:00:00', '1964-11-22 15:00:00', '1964-11-22 18:00:00', '1964-11-22 21:00:00', '1964-11-23 00:00:00', '1964-11-23 03:00:00', '1964-11-23 06:00:00', '1964-11-23 09:00:00', '1964-11-23 12:00:00', '1964-11-23 18:00:00', '1964-11-23 21:00:00', '1964-11-24 00:00:00', '1964-11-24 03:00:00', '1964-11-24 06:00:00', '1964-11-24 09:00:00', '1964-11-24 12:00:00', '1964-11-24 15:00:00', '1964-11-24 21:00:00']","[[9.07, 127.13], [9.3, 126.66], [9.51, 126.19], [9.68, 125.67], [9.81, 125.17], [9.94, 124.74], [10.09, 124.39], [10.3, 124.13], [10.53, 123.94], [10.73, 123.79], [10.97, 123.65], [11.32, 123.5], [11.73, 123.34], [12.13, 123.19], [12.51, 123.03], [12.96, 122.71], [13.43, 122.23], [13.84, 121.82], [14.66, 121.74], [15.16, 121.44], [15.45, 121.05], [15.59, 120.61], [15.53, 120.06], [15.4, 119.62], [15.2, 119.27], [12.14, 119.08], [12.0, 119.0], [11.98, 119.0], [12.0, 119.0], [12.0, 119.0], [12.0, 119.0], [12.0, 119.0], [12.0, 119.0], [12.0, 119.0], [8.64, 128.11], [8.83, 127.61], [14.96, 118.98], [14.7, 118.77], [14.47, 118.6], [14.25, 118.51], [14.04, 118.52], [13.86, 118.54], [13.68, 118.49], [13.57, 118.47], [13.49, 118.53], [13.39, 118.62], [13.01, 118.78], [13.08, 118.77], [14.57, 118.4], [16.05, 117.97], [15.4, 117.96], [14.7, 118.16], [13.88, 118.52], [12.59, 119.21], [12.45, 119.2], [12.3, 119.2], [12.2, 119.17], [12.15, 119.13], [12.13, 119.0]]",3,2,1,-1,57.84924242,985.635,7.5762711860000005,223.1016949,153.9,26334309.0,244532000000.0,8878698.0,83789888661.0,4296759.0,37305349854.0,12.13211749,35000.0,580.0,,0.161555806,1035.7,29.02,3.446982145,1138.543195,0.0,62.411,0.0,100.4448736,2.757732,68.66,Low_Middle,301258,29958688,77991755,86326250,93966780,102113212,109581078.0,,,,,2000,,Population_2000,,,
20,1965161N09151,DINAH,JPN,1965,WP,WP,MX,"['1965-06-19 21:00:00', '1965-06-20 00:00:00', '1965-06-20 03:00:00', '1965-06-20 06:00:00', '1965-06-20 09:00:00', '1965-06-20 12:00:00', '1965-06-20 15:00:00', '1965-06-20 18:00:00', '1965-06-20 21:00:00', '1965-06-19 18:00:00', '1965-06-21 00:00:00', '1965-06-21 03:00:00']","[[32.37, 130.05], [33.5, 131.55], [34.63, 132.78], [35.69, 134.07], [36.35, 135.49], [36.68, 136.88], [36.89, 138.06], [37.2, 139.0], [37.42, 140.79], [31.26, 128.46], [37.7, 142.65], [38.18, 143.84]]",6,0,6,-1,35.13333333,1002.8125,26.5,61.83333333,85.6,12784832.0,1791320000000.0,673323.0,118420000000.0,0.0,0.0,12.32443267,,61.0,,0.055398805,4398.2,78.85,5.819707873,12595.38937,0.0,70.20195122,0.0,269.65639489999995,2.8678781000000004,32.134,Low,30000,98883000,126843000,127773000,128070000,127141000,126476461.0,39113968.0,6919551.5,1589896.75,392.0,2000,,Population_2000,30492076.801589366,5394274.898689719,1239435.8406080746
21,1965161N09151,DINAH,TWN,1965,WP,WP,TS,"['1965-06-18 06:00:00', '1965-06-18 09:00:00', '1965-06-18 12:00:00', '1965-06-18 15:00:00', '1965-06-18 18:00:00', '1965-06-18 21:00:00', '1965-06-19 00:00:00', '1965-06-19 03:00:00']","[[21.38, 121.08], [21.9, 121.06], [22.44, 121.1], [22.98, 121.0], [23.62, 120.96], [24.49, 121.06], [25.46, 121.4], [26.41, 122.0]]",21,0,21,0,81.0,984.3125,15.375,141.75,135.3,23150365.0,4799270000000.0,18592060.0,3803860000000.0,406563.0,167207000000.0,12.32443267,,31.0,,0.142131057,1746.5,17.39,16.95,187.7568793,0.0,49.549,0.0,76.17873406,1.6102769,81.914,Low_Middle,89,12901155,21966527,22705713,23187551,23557477,,20181648.0,7228423.5,338550.375,158.0,2000,,Population_2000,11852878.199791893,4245323.440484812,198833.92869446886
22,1965205N07163,JEAN,JPN,1965,WP,WP,TS,"['1965-08-05 15:00:00', '1965-08-05 18:00:00', '1965-08-05 21:00:00', '1965-08-06 00:00:00', '1965-08-06 03:00:00', '1965-08-06 06:00:00', '1965-08-05 09:00:00', '1965-08-05 12:00:00', '1965-08-06 09:00:00']","[[31.24, 129.56], [31.95, 129.96], [32.74, 130.46], [33.67, 131.04], [34.75, 131.65], [35.92, 132.33], [30.09, 128.81], [30.63, 129.21], [37.08, 133.08]]",18,0,18,1,99.75925926,955.5277777999999,19.55555556,27.55555556,141.3,22764005.0,3001020000000.0,16506681.0,2103820000000.0,5247000.0,718651000000.0,12.32443267,,26.0,,0.055398805,4398.2,78.85,5.819707873,12595.38937,0.0,70.20195122,0.0,269.65639489999995,2.8678781000000004,32.134,Low,40,98883000,126843000,127773000,128070000,127141000,126476461.0,,,,,2000,,Population_2000,,,
23,1965226N20139,MARY,TWN,1965,WP,WP,TS,"['1965-08-18 15:00:00', '1965-08-18 18:00:00', '1965-08-18 21:00:00', '1965-08-19 00:00:00', '1965-08-19 03:00:00', '1965-08-19 06:00:00']","[[24.45, 122.19], [24.55, 121.72], [24.61, 121.43], [24.69, 121.19], [24.76, 120.87], [24.92, 120.5]]",15,0,15,1,79.44444444,962.625,7.0,288.6666667,107.3,18151876.0,3864120000000.0,12873707.0,2564770000000.0,566068.0,161427000000.0,12.32443267,,24.0,,0.142131057,1746.5,17.39,16.95,187.7568793,0.0,49.549,0.0,76.17873406,1.6102769,81.914,Low_Middle,77,12901155,21966527,22705713,23187551,23557477,,15664024.0,7856623.0,1709735.0,158.0,2000,,Population_2000,9199633.67662626,4614271.118031767,1004143.9979986368
