#/Date,"Time
(UTC)",Latitude,Longitude,"Max
Winds
(kts)","SS
HWS","Central
Pressure
(mb)","Landfall
Country","Storm
Names"
1980s,,,,,,,,
2-8/28/1983,1725Z,25.4N,97.4W,70,1,986,Mexico,Barry
11-11/19/1985,0600Z,22.1N,78.4W,95,2,968,Cuba,Kate
6-9/23/1987,0300Z,18.3N,71.0W,95,2,965,Dom. Republic,Emily
6-9/25/1987,1145Z,32.3N,64.7W,75,1,974,Bermuda,Emily
4-9/3/1988,0000Z,20.7N,97.3W,65,1,991,Mexico,Debby
8-9/12/1988,1700Z,17.8N,76.8W,115,4,960,Jamaica,Gilbert
8-9/14/1988,1500Z,20.7N,87.0W,140,5,900,Mexico,Gilbert
8-9/16/1988,2200Z,24.2N,97.8W,110,3,955,Mexico,Gilbert
11-10/22/1988,1000z,11.9N,83.7W,125,4,932,Nicaragua,Joan
8-9/17/1989,0500Z,16.3N,61.3W,120,4,941,Guadaloupe,Hugo
8-9/18/1989,0600Z,17.7N,64.8W,120,4,940,St. Croix,Hugo
8-9/18/1989,1200Z,18.2N,65.5W,110,3,945,Puerto Rico,Hugo
8-9/18/1989,1300Z,18.3N,65.6W,110,3,946,Puerto Rico,Hugo
1990s,,,,,,,,
4-8/7/1990,1700Z,20.9N,97.0W,85,2,980,Mexico,Diana
2-8/23/1992,2100Z,25.4N,76.6W,140,5,923,Bahamas,Andrew
2-8/24/1992,0100Z,25.4N,77.8W,130,4,931,Bahamas,Andrew
7-9/20/1993,2100Z,21.2N,97.5W,85,2,970,Mexico,Gert
12-9/5/1995,1200Z,17.5N,61.7W,115,3,945,Barbuda,Luis
13-9/14/1995,2100Z,15.5N,61.3W,70,1,984,Dominica,Marilyn
17-10/11/1995,0200Z,20.0N,87.6W,100,3,958,Mexico,Roxanne
2-7/8/1996,1600Z,18.5N,64.5W,75,1,978,Tortola,Bertha
3-7/28/1996,0400Z,12.2N,83.9W,75,1,985,Nicaragua,Cesar
4-8/20/1996,1730Z,19.1N,87.7W,65,1,999,Mexico,Dolly
4-8/23/1996,1200Z,21.6N,97.7W,70,1,989,Mexico,Dolly
8-9/10/1996,0600Z,18.0N,66.9W,70,1,989,Puerto Rico,Hortense
8-9/15/1996,0300Z,44.8N,62.5W,70,1,978,Canada,Hortense
12-10/18/1996,0100Z,21.4N,82.7W,70,1,982,Cuba,Lili
