,ATD,lf_wind,lf_pressure,population,lf_lat,lf_lon,month_5,month_6,month_7,month_8,month_9,month_10,month_11,ND
0,2826.1,120,936.0,119724,29.17,-95.2,0,0,0,0,1,0,0,171510000000
1,28.6,75,973.0,371192,29.27,-89.63,0,0,0,1,0,0,0,830000000
2,1394.2,75,976.0,4556,26.1,-80.1,0,0,0,0,1,0,0,7410000000
3,0.0,80,988.0,25018,29.8,-85.46,0,0,0,0,1,0,0,0
4,62.7,70,,155567,33.27,-79.28,0,0,0,0,1,0,0,640000000
5,298.3,95,958.0,112559,30.4,-88.7,0,0,0,0,1,0,0,2970000000
6,184.6,105,953.0,9093,25.15,-80.8,0,0,0,0,0,1,0,2140000000
7,194.6,100,960.0,87964,28.9,-95.3,0,0,1,0,0,0,0,2210000000
8,297.8,100,952.0,143689,29.5,-91.3,0,0,0,0,1,0,0,1400000000
9,833.2,100,957.0,10273,25.11,-80.3,0,0,0,0,0,1,0,8980000000
10,335.5,100,955.0,12559,26.5,-82.0,0,0,0,0,0,1,0,5150000000
11,45.7,85,972.0,182468,32.2,-80.7,0,0,0,1,0,0,0,420000000
12,217.0,75,976.0,104705,34.75,-76.74,0,0,0,0,1,0,0,1930000000
13,2215.1,115,940.0,178896,29.2,-95.1,0,0,0,1,0,0,0,121200000000
14,327.8,112,945.0,314286,29.27,-90.3,0,0,0,0,1,0,0,2980000000
15,136.4,105,950.0,137683,30.4,-88.4,0,0,1,0,0,0,0,1800000000
16,379.7,115,934.0,29687,27.05,-97.5,0,0,0,1,0,0,0,2460000000
17,327.0,105,955.0,64270,29.8,-93.2,0,0,0,1,0,0,0,420000000
18,158.0,127,927.0,51760,24.09,-81.23,0,0,0,0,1,0,0,600000000
19,2386.6,100,950.0,34263,27.27,-97.53,0,0,0,0,1,0,0,18460000000
20,50.0,85,976.0,106395,29.23,-90.87,0,0,0,0,1,0,0,1020000000
21,82.2,100,958.0,164068,28.1,-82.8,0,0,0,0,0,1,0,5660000000
22,153.3,90,967.0,76032,28.56,-80.53,0,0,1,0,0,0,0,7190000000
23,257.3,100,955.0,103949,29.14,-90.89,0,0,0,1,0,0,0,1750000000
24,3931.4,125,930.0,73876,25.6,-80.3,0,0,0,0,1,0,0,242750000000
25,622.8,100,955.0,177946,30.3,-87.43,0,0,0,0,1,0,0,13200000000
26,1799.1,127,929.0,51132,26.7,-80.0,0,0,0,0,1,0,0,63830000000
27,44.4,80,983.0,56024,28.38,-96.52,0,1,0,0,0,0,0,110000000
28,3.0,100,949.0,123523,25.09,-80.75,0,0,0,0,1,0,0,170000000
29,14.0,70,975.0,52684,30.16,-85.75,0,0,0,0,0,1,0,220000000
30,216.7,130,935.0,171929,29.0,-95.2,0,0,0,1,0,0,0,12650000000
31,1110.0,81,965.0,114941,35.95,-75.7,0,0,0,1,0,0,0,7410000000
32,57.3,110,948.0,82410,26.9,-80.1,0,0,0,0,1,0,0,2720000000
33,490.2,110,940.0,162902,26.1,-97.28,0,0,0,0,1,0,0,9210000000
34,197.5,90,953.0,113662,35.57,-75.27,0,0,0,0,1,0,0,1770000000
35,80.3,85,966.0,150885,29.7,-91.7,0,1,0,0,0,0,0,710000000
36,67.0,75,979.0,104066,28.1,-97.0,0,0,1,0,0,0,0,640000000
37,128.6,160,899.0,179515,25.15,-81.14,0,0,0,0,1,0,0,2320000000
38,97.3,85,965.0,47446,29.68,-83.4,0,0,0,0,1,0,0,330000000
39,107.4,85,973.0,236558,25.9,-80.1,0,0,0,0,0,0,1,10420000000
40,19.8,70,987.0,117531,28.0,-97.15,0,1,0,0,0,0,0,190000000
41,4.6,90,964.0,113806,30.4,-86.6,0,0,1,0,0,0,0,110000000
42,22.5,85,965.0,300481,35.9,-74.8,0,0,0,0,1,0,0,940000000
43,6.9,65,,143256,29.8,-93.4,0,0,0,1,0,0,0,31000000
44,121.5,105,941.0,10176877,40.7,-72.9,0,0,0,0,1,0,0,60680000000
45,162.8,85,972.0,204956,29.68,-94.05,0,0,0,1,0,0,0,1370000000
46,131.3,85,973.0,197629,32.11,-80.88,0,0,0,1,0,0,0,1930000000
47,251.8,110,989.0,91124,28.8,-95.6,0,0,0,0,1,0,0,3820000000
48,3.5,85,987.0,316637,25.5,-80.3,0,0,0,0,0,1,0,210000000
