SID;NAME;ISO;YEAR;BASIN;SUB BASIN;NATURE;ISO_TIME;COORDS;TOTAL_HRS;DAY_HRS;NIGHT_HRS;USA_SSHS;WIND_CALC_MEAN;PRES_CALC_MEAN;STORM_SPD_MEAN;STORM_DR_MEAN;V_LAND_KN;34KN_POP;34KN_ASSETS;64KN_POP;64KN_ASSETS;96KN_POP;96KN_ASSETS;CPI;TOTAL_DAMAGE_(000$);TOTAL_DEATHS;Air transport, freight (million ton-km);Arable land (hectares per person);Cereal yield (kg per hectare);Food production index (2004-2006 = 100);GDP growth (annual %);GDP per capita (constant 2010 US$);Net flows from UN agencies US$;Life expectancy at birth, total (years);Mobile cellular subscriptions (per 100 people);Population density (people per sq. km of land area);Adjusted savings: education expenditure (% of GNI);Rural population (% of total population);Income_level_Final;TOTAL_AFFECTED;Population, total;Population_2000;Population_2005;Population_2010;Population_2015;
1960273N10142;KIT;PHL;1960;WP;WP;TS;['1960-10-05 15:00:00', '1960-10-05 18:00:00', '1960-10-05 21:00:00', '1960-10-06 00:00:00', '1960-10-06 03:00:00', '1960-10-06 06:00:00', '1960-10-06 09:00:00', '1960-10-06 12:00:00', '1960-10-06 15:00:00', '1960-10-06 18:00:00', '1960-10-06 21:00:00', '1960-10-07 00:00:00', '1960-10-07 03:00:00', '1960-10-07 06:00:00', '1960-10-07 09:00:00', '1960-10-07 12:00:00', '1960-10-07 15:00:00', '1960-10-07 18:00:00', '1960-10-05 03:00:00', '1960-10-05 06:00:00', '1960-10-05 09:00:00', '1960-10-05 12:00:00', '1960-10-07 21:00:00', '1960-10-08 00:00:00', '1960-10-08 03:00:00', '1960-10-08 06:00:00', '1960-10-08 09:00:00', '1960-10-08 12:00:00', '1960-10-08 15:00:00'];[[12.85, 126.02], [12.83, 125.79], [12.81, 125.57], [12.8, 125.3], [12.8, 124.89], [12.82, 124.44], [12.86, 124.04], [12.9, 123.63], [12.95, 123.19], [13.0, 122.73], [13.03, 122.28], [13.07, 121.83], [13.13, 121.41], [13.21, 121.0], [13.28, 120.59], [13.37, 120.23], [13.47, 119.95], [13.6, 119.69], [12.79, 127.17], [12.83, 126.81], [12.86, 126.52], [12.87, 126.27], [13.73, 119.4], [13.9, 119.13], [14.15, 118.9], [14.46, 118.69], [14.81, 118.53], [15.2, 118.33], [15.63, 118.02]];0;0;0;-1;74.4;979.6666667;7.310344828;287.2758621;107.7;46670682;4.05154E+11;10148577;1.03737E+11;1954058;14156660526;11.56821608;;150;;0.180442234;996.3;25.68;;1059.467412;0;61.105;0;91.06500034;2.757732;69.703;Low_Middle;375000;26269734;77991755;86326250;93966780;102113212;
1961241N18117;OLGA;HKG;1961;WP;WP;TS;['1961-08-31 09:00:00'];[[22.04, 114.25]];0;0;0;-1;38;995;11;291;71.7;8148473;1.22602E+12;182375;70599634630;0;0;11.69207506;;7;;0.004103406;2016.8;128.21;;3380.66007;0;67.5487561;0;3105.980392;2.0989835;14.707;High;1171;3168100;6665000;6813200;7024200;7291300;
1963219N09146;CARMEN;PHL;1963;WP;WP;TS;['1963-08-12 09:00:00', '1963-08-12 12:00:00', '1963-08-12 15:00:00', '1963-08-12 18:00:00', '1963-08-12 21:00:00', '1963-08-13 00:00:00', '1963-08-13 03:00:00', '1963-08-13 06:00:00', '1963-08-13 09:00:00', '1963-08-13 12:00:00', '1963-08-13 15:00:00', '1963-08-13 18:00:00', '1963-08-13 21:00:00', '1963-08-14 00:00:00', '1963-08-14 03:00:00', '1963-08-14 06:00:00', '1963-08-12 03:00:00', '1963-08-12 06:00:00', '1963-08-14 09:00:00', '1963-08-14 12:00:00'];[[12.3, 126.24], [12.57, 125.86], [12.82, 125.47], [13.08, 125.08], [13.4, 124.68], [13.73, 124.31], [14.03, 124.03], [14.32, 123.74], [14.61, 123.33], [14.91, 122.9], [15.26, 122.53], [15.61, 122.12], [15.92, 121.6], [16.2, 121.01], [16.46, 120.39], [16.72, 119.76], [11.87, 127.05], [12.06, 126.64], [17.01, 119.19], [17.3, 118.63]];3;3;0;3;98.25833333;954.8875;10.35;303.9;133.5;51026948;4.38814E+11;12321195;1.30691E+11;2140975;24604616102;11.97891616;;1;;0.167513281;1030.2;28.57;7.060487423;1136.494797;0;62.16;0;97.27293301;2.757732;68.923;Low_Middle;2000;29012625;77991755;86326250;93966780;102113212;
1964177N09142;WINNIE;PHL;1964;WP;WP;TS;['1964-06-29 03:00:00', '1964-06-29 06:00:00', '1964-06-29 09:00:00', '1964-06-29 12:00:00', '1964-06-29 15:00:00', '1964-06-29 18:00:00', '1964-06-29 21:00:00', '1964-06-30 00:00:00', '1964-06-28 21:00:00', '1964-06-29 00:00:00', '1964-06-30 03:00:00', '1964-06-30 06:00:00'];[[14.69, 124.31], [14.67, 123.57], [14.61, 122.89], [14.56, 122.23], [14.57, 121.55], [14.61, 120.88], [14.63, 120.28], [14.73, 119.67], [14.52, 125.72], [14.64, 125.04], [15.0, 118.97], [15.33, 118.28]];3;0;3;1;77.83333333;973.4583333;13.33333333;277.4166667;115.9;46604574;4.21511E+11;33091754;2.72292E+11;2586604;29457641084;12.13211749;8000;56;;0.161555806;1035.7;29.02;3.446982145;1138.543195;0;62.411;0;100.4448736;2.757732;68.66;Low_Middle;924288;29958688;77991755;86326250;93966780;102113212;
1964234N13316;CLEO;HTI;1964;NAm;CS;TS;['1964-08-24 15:00:00', '1964-08-24 18:00:00', '1964-08-24 21:00:00', '1964-08-25 00:00:00', '1964-08-25 03:00:00'];[[17.42, -72.43], [17.8, -73.1], [18.12, -73.87], [18.4, -74.6], [18.66, -75.14]];12;0;12;4;129.8;961.4;13.6;296.2;145.2;9363761;20133618479;5096286;9160848399;2117798;4177158306;12.13211749;10000;100;;0.215432791;1056.6;68.34;-1.64735737;928.8394955;0;43.414;0;151.5833454;1.2844422;82.832;Low_Middle;80000;4177637;8463806;9195288;9949322;10695542;
1964245N20132;RUBY;HKG;1964;WP;WP;TS;['1964-09-05 03:00:00', '1964-09-05 06:00:00'];[[21.89, 114.34], [22.13, 113.75]];3;0;3;4;106.9166667;967.125;12.5;294;129.6;8148473;1.22602E+12;8148473;1.22602E+12;8148473;1.22602E+12;12.13211749;;44;;0.003424071;1396.2;115.93;8.628060341;4392.23754;0;69.10436585;0;3435.882353;2.0989835;13.853;High;300;3504600;6665000;6813200;7024200;7291300;
1964278N07156;DOT;HKG;1964;WP;WP;TS;['1964-10-12 15:00:00', '1964-10-12 18:00:00', '1964-10-12 21:00:00', '1964-10-12 09:00:00', '1964-10-12 12:00:00'];[[21.47, 114.69], [21.77, 114.58], [22.11, 114.51], [20.84, 114.93], [21.17, 114.81]];21;0;21;2;87.66666667;976.9;6.8;344.4;94.6;8148473;1.22602E+12;8148473;1.22602E+12;0;0;12.13211749;;26;;0.003424071;1396.2;115.93;8.628060341;4392.23754;0;69.10436585;0;3435.882353;2.0989835;13.853;High;85;3504600;6665000;6813200;7024200;7291300;
1964305N12128;IRIS;VNM;1964;WP;WP;TS;['1964-11-03 21:00:00', '1964-11-04 00:00:00', '1964-11-04 03:00:00', '1964-11-04 06:00:00', '1964-11-04 09:00:00', '1964-11-04 12:00:00', '1964-11-04 15:00:00', '1964-11-04 18:00:00', '1964-11-03 15:00:00', '1964-11-03 18:00:00'];[[13.91, 110.24], [13.71, 109.89], [13.63, 109.49], [13.63, 109.08], [13.65, 108.66], [13.66, 108.28], [13.5, 108.15], [13.5, 107.8], [14.51, 110.98], [14.18, 110.6]];21;0;21;0;53.72916667;996.4;7.6;252.4;84.3;8197178;62722208793;2449448;16299431036;0;0;12.13211749;50000;7000;;0.150897231;1909.8;22.54;;377.5082811;0;61.581;0;112.9988602;2.3;83.936;Low;700000;36779999;79910412;83832661;87967651;92677076;
1964319N08141;LOUISE;PHL;1964;WP;WP;TS;['1964-11-18 18:00:00', '1964-11-18 21:00:00', '1964-11-19 00:00:00', '1964-11-19 03:00:00', '1964-11-19 06:00:00', '1964-11-19 09:00:00', '1964-11-19 12:00:00', '1964-11-19 15:00:00', '1964-11-19 18:00:00', '1964-11-19 21:00:00', '1964-11-20 00:00:00', '1964-11-20 03:00:00', '1964-11-20 06:00:00', '1964-11-20 09:00:00', '1964-11-20 12:00:00', '1964-11-20 15:00:00', '1964-11-20 18:00:00', '1964-11-20 21:00:00', '1964-11-21 00:00:00', '1964-11-21 03:00:00', '1964-11-21 06:00:00', '1964-11-21 09:00:00', '1964-11-21 12:00:00', '1964-11-21 15:00:00', '1964-11-21 18:00:00', '1964-11-24 18:00:00', '1964-11-25 00:00:00', '1964-11-25 03:00:00', '1964-11-25 06:00:00', '1964-11-25 09:00:00', '1964-11-25 12:00:00', '1964-11-25 15:00:00', '1964-11-25 18:00:00', '1964-11-25 21:00:00', '1964-11-18 12:00:00', '1964-11-18 15:00:00', '1964-11-21 21:00:00', '1964-11-22 00:00:00', '1964-11-22 03:00:00', '1964-11-22 06:00:00', '1964-11-22 09:00:00', '1964-11-22 12:00:00', '1964-11-22 15:00:00', '1964-11-22 18:00:00', '1964-11-22 21:00:00', '1964-11-23 00:00:00', '1964-11-23 03:00:00', '1964-11-23 06:00:00', '1964-11-23 09:00:00', '1964-11-23 12:00:00', '1964-11-23 18:00:00', '1964-11-23 21:00:00', '1964-11-24 00:00:00', '1964-11-24 03:00:00', '1964-11-24 06:00:00', '1964-11-24 09:00:00', '1964-11-24 12:00:00', '1964-11-24 15:00:00', '1964-11-24 21:00:00'];[[9.07, 127.13], [9.3, 126.66], [9.51, 126.19], [9.68, 125.67], [9.81, 125.17], [9.94, 124.74], [10.09, 124.39], [10.3, 124.13], [10.53, 123.94], [10.73, 123.79], [10.97, 123.65], [11.32, 123.5], [11.73, 123.34], [12.13, 123.19], [12.51, 123.03], [12.96, 122.71], [13.43, 122.23], [13.84, 121.82], [14.66, 121.74], [15.16, 121.44], [15.45, 121.05], [15.59, 120.61], [15.53, 120.06], [15.4, 119.62], [15.2, 119.27], [12.14, 119.08], [12.0, 119.0], [11.98, 119.0], [12.0, 119.0], [12.0, 119.0], [12.0, 119.0], [12.0, 119.0], [12.0, 119.0], [12.0, 119.0], [8.64, 128.11], [8.83, 127.61], [14.96, 118.98], [14.7, 118.77], [14.47, 118.6], [14.25, 118.51], [14.04, 118.52], [13.86, 118.54], [13.68, 118.49], [13.57, 118.47], [13.49, 118.53], [13.39, 118.62], [13.01, 118.78], [13.08, 118.77], [14.57, 118.4], [16.05, 117.97], [15.4, 117.96], [14.7, 118.16], [13.88, 118.52], [12.59, 119.21], [12.45, 119.2], [12.3, 119.2], [12.2, 119.17], [12.15, 119.13], [12.13, 119.0]];3;2;1;-1;57.84924242;985.635;7.576271186;223.1016949;153.9;26334309;2.44532E+11;8878698;83789888661;4296759;37305349854;12.13211749;35000;580;;0.161555806;1035.7;29.02;3.446982145;1138.543195;0;62.411;0;100.4448736;2.757732;68.66;Low_Middle;301258;29958688;77991755;86326250;93966780;102113212;
1965161N09151;DINAH;JPN;1965;WP;WP;MX;['1965-06-19 21:00:00', '1965-06-20 00:00:00', '1965-06-20 03:00:00', '1965-06-20 06:00:00', '1965-06-20 09:00:00', '1965-06-20 12:00:00', '1965-06-20 15:00:00', '1965-06-20 18:00:00', '1965-06-20 21:00:00', '1965-06-19 18:00:00', '1965-06-21 00:00:00', '1965-06-21 03:00:00'];[[32.37, 130.05], [33.5, 131.55], [34.63, 132.78], [35.69, 134.07], [36.35, 135.49], [36.68, 136.88], [36.89, 138.06], [37.2, 139.0], [37.42, 140.79], [31.26, 128.46], [37.7, 142.65], [38.18, 143.84]];6;0;6;-1;35.13333333;1002.8125;26.5;61.83333333;85.6;12784832;1.79132E+12;673323;1.1842E+11;0;0;12.32443267;;61;;0.055398805;4398.2;78.85;5.819707873;12595.38937;0;70.20195122;0;269.6563949;2.8678781;32.134;Low;30000;98883000;126843000;127773000;128070000;127141000;
1965161N09151;DINAH;TWN;1965;WP;WP;TS;['1965-06-18 06:00:00', '1965-06-18 09:00:00', '1965-06-18 12:00:00', '1965-06-18 15:00:00', '1965-06-18 18:00:00', '1965-06-18 21:00:00', '1965-06-19 00:00:00', '1965-06-19 03:00:00'];[[21.38, 121.08], [21.9, 121.06], [22.44, 121.1], [22.98, 121.0], [23.62, 120.96], [24.49, 121.06], [25.46, 121.4], [26.41, 122.0]];21;0;21;0;81;984.3125;15.375;141.75;135.3;23150365;4.79927E+12;18592060;3.80386E+12;406563;1.67207E+11;12.32443267;;31;;0.142131057;1746.5;17.39;16.95;187.7568793;0;49.549;0;76.17873406;1.6102769;81.914;Low_Middle;89;12901155;;;;;
1965205N07163;JEAN;JPN;1965;WP;WP;TS;['1965-08-05 15:00:00', '1965-08-05 18:00:00', '1965-08-05 21:00:00', '1965-08-06 00:00:00', '1965-08-06 03:00:00', '1965-08-06 06:00:00', '1965-08-05 09:00:00', '1965-08-05 12:00:00', '1965-08-06 09:00:00'];[[31.24, 129.56], [31.95, 129.96], [32.74, 130.46], [33.67, 131.04], [34.75, 131.65], [35.92, 132.33], [30.09, 128.81], [30.63, 129.21], [37.08, 133.08]];18;0;18;1;99.75925926;955.5277778;19.55555556;27.55555556;141.3;22764005;3.00102E+12;16506681;2.10382E+12;5247000;7.18651E+11;12.32443267;;26;;0.055398805;4398.2;78.85;5.819707873;12595.38937;0;70.20195122;0;269.6563949;2.8678781;32.134;Low;40;98883000;126843000;127773000;128070000;127141000;
1965226N20139;MARY;TWN;1965;WP;WP;TS;['1965-08-18 15:00:00', '1965-08-18 18:00:00', '1965-08-18 21:00:00', '1965-08-19 00:00:00', '1965-08-19 03:00:00', '1965-08-19 06:00:00'];[[24.45, 122.19], [24.55, 121.72], [24.61, 121.43], [24.69, 121.19], [24.76, 120.87], [24.92, 120.5]];15;0;15;1;79.44444444;962.625;7;288.6666667;107.3;18151876;3.86412E+12;12873707;2.56477E+12;566068;1.61427E+11;12.32443267;;24;;0.142131057;1746.5;17.39;16.95;187.7568793;0;49.549;0;76.17873406;1.6102769;81.914;Low_Middle;77;12901155;;;;;
1965239N11310;BETSY;BHS;1965;NAm;NAm;TS;['1965-09-07 12:00:00', '1965-09-07 15:00:00', '1965-09-07 18:00:00', '1965-09-07 21:00:00', '1965-09-08 00:00:00', '1965-09-08 03:00:00', '1965-09-08 06:00:00', '1965-09-06 18:00:00', '1965-09-06 21:00:00', '1965-09-07 00:00:00', '1965-09-07 03:00:00', '1965-09-07 06:00:00', '1965-09-07 09:00:00'];[[25.3, -77.2], [25.29, -77.53], [25.3, -77.9], [25.26, -78.18], [25.2, -78.5], [25.14, -78.96], [25.1, -79.5], [26.2, -76.5], [25.96, -76.6], [25.8, -76.7], [25.69, -76.79], [25.6, -76.9], [25.43, -77.01]];21;0;21;3;106.4615385;956.4615385;5.538461538;239.4615385;113.8;351933;11523581836;278609;7957300215;259136;6561885703;12.32443267;700;;;0.049978937;909.1;42.6;10.42559649;22863.64769;0;65.31;0;13.99190809;3.3;36.657;High;1200;140059;298051;324859;354942;374206;
1965244N09145;SHIRLEY;JPN;1965;WP;WP;TS;['1965-09-09 21:00:00', '1965-09-10 00:00:00', '1965-09-10 03:00:00', '1965-09-10 06:00:00', '1965-09-10 15:00:00', '1965-09-10 18:00:00', '1965-09-10 21:00:00', '1965-09-09 15:00:00', '1965-09-09 18:00:00', '1965-09-10 09:00:00', '1965-09-10 12:00:00', '1965-09-11 06:00:00'];[[32.49, 133.47], [33.79, 134.24], [35.3, 135.18], [36.95, 136.21], [41.83, 139.44], [43.21, 140.69], [44.66, 142.27], [30.24, 132.12], [31.35, 132.8], [38.65, 137.21], [40.34, 138.3], [47.95, 146.9]];9;0;9;0;84.05;957.5625;32.66666667;30.91666667;144;52796702;6.5118E+12;32698264;3.83097E+12;15012087;1.56562E+12;12.32443267;;60;;0.055398805;4398.2;78.85;5.819707873;12595.38937;0;70.20195122;0;269.6563949;2.8678781;32.134;Low;730;98883000;126843000;127773000;128070000;127141000;
1966141N16117;JUDY;TWN;1966;WP;WP;TS;['1966-05-30 06:00:00', '1966-05-30 09:00:00', '1966-05-30 12:00:00', '1966-05-30 15:00:00', '1966-05-30 18:00:00', '1966-05-30 21:00:00', '1966-05-30 03:00:00'];[[22.66, 119.32], [22.72, 119.92], [22.79, 120.57], [22.89, 121.2], [23.13, 121.84], [23.49, 122.38], [22.5, 118.79]];21;0;21;0;49.52380952;991.3928571;12.14285714;70.57142857;63.9;8281419;1.83337E+12;0;0;0;0;12.69602817;17322;36;;0.137612184;1879.1;18.42;10.65;202.0421811;0;51.696;0;78.3319575;1.6102769;82.085;Low_Middle;5021;13305815;;;;;
1966171N09151;KIT;JPN;1966;WP;WP;ET;['1966-06-28 09:00:00', '1966-06-28 12:00:00', '1966-06-29 21:00:00', '1966-06-30 00:00:00', '1966-06-30 03:00:00', '1966-06-30 06:00:00', '1966-06-30 09:00:00', '1966-06-30 12:00:00', '1966-06-28 06:00:00', '1966-06-28 15:00:00', '1966-06-28 18:00:00', '1966-06-29 03:00:00', '1966-06-29 12:00:00', '1966-06-29 15:00:00', '1966-06-29 18:00:00', '1966-06-30 15:00:00', '1966-06-30 18:00:00', '1966-06-30 21:00:00'];[[34.18, 140.48], [35.47, 141.68], [45.29, 150.54], [45.5, 150.5], [45.79, 150.71], [46.0, 151.0], [46.07, 151.25], [46.0, 151.5], [33.03, 139.18], [36.99, 142.57], [38.54, 143.41], [41.76, 146.64], [44.0, 149.03], [44.61, 150.13], [45.05, 151.12], [45.75, 151.68], [45.5, 152.0], [45.46, 152.67]];12;11;1;-1;53.67037037;978.5416667;15.55555556;73.72222222;104.5;1264381;2.28211E+11;8194;1220940667;7256;1112411838;12.69602817;;44;;0.054644754;4509.3;80.42;10.63856156;13808.69794;0;70.98658537;0;272.1298064;2.8678781;31.296;Low;80;99790000;126843000;127773000;128070000;127141000;
1966265N10325;INEZ;HTI;1966;NAm;CS;TS;['1966-09-29 18:00:00', '1966-09-29 21:00:00', '1966-09-30 00:00:00', '1966-09-30 03:00:00', '1966-09-30 06:00:00'];[[18.1, -72.3], [18.46, -72.99], [18.8, -73.6], [19.06, -74.08], [19.3, -74.5]];12;0;12;2;89;982.6;12.2;299.8;131.2;10501742;22268618502;6950819;14442152244;4097835;7533611087;12.69602817;20000;480;;0.207310315;1075.8;71.74;-0.5757868;907.8842162;0;44.267;0;157.5224238;1.2844422;81.999;Low_Middle;67881;4341318;8463806;9195288;9949322;10695542;
