Year;Country Code;Country Name;Arable land (hectares per person);Cereal yield (kg per hectare);Food production index (2004-2006 = 100);GDP per capita (constant 2010 US$);Net flows from UN agencies US$;Life expectancy at birth, total (years);Adjusted savings: education expenditure (% of GNI);Income_level_Final
1996;AUS;Australia;1.98154115;2129.5;89.38;39056.18102;0;78.07804878;5.2;High
1997;AUS;Australia;2.153210563;1953.8;89.86;40153.61225;0;78.4804878;4.867495;High
1998;AUS;Australia;2.354497354;1986.3;94.82;41555.94435;0;78.63170732;4.74634;High
1999;AUS;Australia;2.405685301;2111;100.95;43168.29246;0;78.93170732;4.78817;High
2000;AUS;Australia;2.469795854;1962.3;99.32;44334.39293;0;79.23414634;4.83;High
2001;AUS;Australia;2.565651883;1959.6;100.93;44585.19852;0;79.63414634;4.844;High
2002;AUS;Australia;2.432345787;2197.5;103.3;45806.69447;0;79.93658537;4.858;High
2003;AUS;Australia;2.364365632;1020.7;84.24;46595.90092;0;80.23902439;4.872;High
2004;AUS;Australia;2.372040105;2116.4;100.3;47926.74866;0;80.4902439;4.886;High
2005;AUS;Australia;2.422284112;1694.6;98.03;48813.88776;0;80.84146341;4.9;High
2006;AUS;Australia;2.305306335;2111.7;101.67;49443.22553;0;81.04146341;4.79;High
2007;AUS;Australia;2.119303232;981.3;86.21;51024.24113;0;81.29268293;4.66;High
2008;AUS;Australia;2.069677917;1332.7;90.6;51841.27303;0;81.39512195;4.6;High
2009;AUS;Australia;2.10292416;1651.4;98.33;51767.37784;0;81.54390244;4.8;High
2010;AUS;Australia;1.932120689;1661.5;96.01;52022.1256;0;81.69512195;5.08;High
2011;AUS;Australia;2.134196454;2097.5;102.35;52567.77724;0;81.89512195;4.85;High
2012;AUS;Australia;2.072407352;2231.6;108.39;53682.04722;0;82.04634146;5.05;High
2013;AUS;Australia;1.998389061;1936.1;108.59;54129.93905;0;82.14878049;4.945023954;High
2014;AUS;Australia;2.000239737;2137.9;109.14;54679.42018;0;82.3;4.840047908;High
2015;AUS;Australia;1.936765606;2027.4;109.72;55079.89212;0;82.4;5.025693972;High
2016;AUS;Australia;1.903525155;2075.2;105.58;55728.68446;0;82.44878049;5.025693972;High
2017;AUS;Australia;1.965725408;2674.2;108.7920162;56095.18632;0;82.49756098;5.025693972;High
2018;AUS;Australia;1.933944054;2142.942715;107.8960803;56842.30551;0;82.41269975;4.999734359;High
2019;AUS;Australia;1.915547456;2316.977354;106.7793391;55902.89196;0;82.45847075;5.021870958;High
1949;BGD;Bangladesh;0.174321402;1681.1;37.35;372.0316957;0;45.379;0.5425099;Low_Middle
1950;BGD;Bangladesh;0.174321402;1681.1;37.35;372.0316957;0;45.379;0.5425099;Low_Middle
1951;BGD;Bangladesh;0.174321402;1681.1;37.35;372.0316957;0;45.379;0.5425099;Low_Middle
1952;BGD;Bangladesh;0.174321402;1681.1;37.35;372.0316957;0;45.379;0.5425099;Low_Middle
1953;BGD;Bangladesh;0.174321402;1681.1;37.35;372.0316957;0;45.379;0.5425099;Low_Middle
1954;BGD;Bangladesh;0.174321402;1681.1;37.35;372.0316957;0;45.379;0.5425099;Low_Middle
1955;BGD;Bangladesh;0.174321402;1681.1;37.35;372.0316957;0;45.379;0.5425099;Low_Middle
1956;BGD;Bangladesh;0.174321402;1681.1;37.35;372.0316957;0;45.379;0.5425099;Low_Middle
1957;BGD;Bangladesh;0.174321402;1681.1;37.35;372.0316957;0;45.379;0.5425099;Low_Middle
1958;BGD;Bangladesh;0.174321402;1681.1;37.35;372.0316957;0;45.379;0.5425099;Low_Middle
1959;BGD;Bangladesh;0.174321402;1681.1;37.35;372.0316957;0;45.379;0.5425099;Low_Middle
1960;BGD;Bangladesh;0.174321402;1681.1;37.35;372.0316957;0;45.379;0.5425099;Low_Middle
1961;BGD;Bangladesh;0.174321402;1681.1;37.35;383.7843585;0;45.97;0.5425099;Low_Middle
1962;BGD;Bangladesh;0.169391815;1514;35.62;393.6334506;0;46.557;0.5425099;Low_Middle
1963;BGD;Bangladesh;0.164840405;1749.4;40.53;380.9560287;0;47.126;0.5425099;Low
1964;BGD;Bangladesh;0.160768964;1691.8;40.81;410.5714472;0;47.649;0.5425099;Low_Middle
1965;BGD;Bangladesh;0.15847219;1670;41.08;404.7880594;0;48.05;0.5425099;Low_Middle
1966;BGD;Bangladesh;0.153925142;1570.8;39.32;402.3029277;0;48.236;0.5425099;Low_Middle
1967;BGD;Bangladesh;0.149794402;1681.5;44.55;382.2076642;0;48.176;0.5425099;Low
1968;BGD;Bangladesh;0.144931452;1727.9;45.6;405.5336077;0;47.888;0.5425099;Low_Middle
1969;BGD;Bangladesh;0.140555728;1724.7;47.48;398.9499167;0;47.432;0.5425099;Low_Middle
1970;BGD;Bangladesh;0.137578367;1666.2;45.19;411.1843628;0;46.942;0.5425099;Low_Middle
1971;BGD;Bangladesh;0.134850905;1583.1;41.94;380.9486089;0;46.589;0.5425099;Low
1972;BGD;Bangladesh;0.137079225;1554.5;41.14;322.3344057;16329999.8;46.507;0.5425099;Low_Middle
1973;BGD;Bangladesh;0.134999016;1785.2;45.57;328.0718859;10130000.25;46.773;0.5425099;Low_Middle
1974;BGD;Bangladesh;0.132829552;1708.4;44.08;353.7625035;13119999.89;47.396;0.9;Low_Middle
1975;BGD;Bangladesh;0.130504963;1831.6;48.77;332.8880625;31420001.03;48.313;0.8;Low
1976;BGD;Bangladesh;0.127532398;1769;46.57;343.948157;35099999.84;49.402;0.5;Low_Middle
1977;BGD;Bangladesh;0.124292874;1923.7;49.74;344.4355662;59489999.54;50.498;0.6;Low
1978;BGD;Bangladesh;0.120940969;1926.9;51.52;359.0906051;74599999.66;51.473;0.6448609;Low_Middle
1979;BGD;Bangladesh;0.117607537;1870.9;51.1;366.2411113;79890002.25;52.277;0.7;Low
1980;BGD;Bangladesh;0.114528607;2005.8;52.07;359.4562576;66070000.12;52.9;0.7;Low
1981;BGD;Bangladesh;0.111401209;1937.5;51.76;375.4274321;79409999.07;53.376;0.7;Low_Middle
1982;BGD;Bangladesh;0.108468596;1997.9;53.82;373.5513482;85050000.07;53.794;0.7;Low
1983;BGD;Bangladesh;0.105511223;2205.6;55.06;378.0919289;83979999.6;54.225;0.8;Low
1984;BGD;Bangladesh;0.1038833;2134.6;55.38;386.0614432;123509996.9;54.693;0.9;Low
1985;BGD;Bangladesh;0.100832726;2148.5;57.3;388.6442738;91560001.4;55.21;0.9;Low
1986;BGD;Bangladesh;0.098307068;2146.6;57.99;394.3350689;116080000.2;55.772;1.1;Low
1987;BGD;Bangladesh;0.096528564;2202.1;58.09;398.5881267;142519999.2;56.359;1.1;Low
1988;BGD;Bangladesh;0.097131628;2235.8;59.01;397.7619117;119130000;56.958;1.1;Low
1989;BGD;Bangladesh;0.094870181;2500.3;64.84;398.8521103;134289996.3;57.571;1.2;Low
1990;BGD;Bangladesh;0.091652813;2490.6;65.58;411.1646112;138589997.4;58.21;1.2;Low_Middle
1991;BGD;Bangladesh;0.088873841;2585.8;66.22;415.7147409;114030001.9;58.891;1.1;Low
1992;BGD;Bangladesh;0.079724993;2625.7;67.06;428.6610176;177430003.9;59.618;1.2;Low_Middle
1993;BGD;Bangladesh;0.077081565;2647.7;66.89;439.2300002;107590000.6;60.388;1.3;Low_Middle
1994;BGD;Bangladesh;0.074580209;2475.9;64.18;446.6548127;152479998.4;61.19;1.3369002;Low
1995;BGD;Bangladesh;0.072970436;2593.2;67;459.6133678;108990002.2;62.002;1.3369002;Low_Middle
1996;BGD;Bangladesh;0.071032765;2694.2;70.66;470.2746886;54580000.41;62.798;1.3050351;Low_Middle
1997;BGD;Bangladesh;0.069823241;2682.4;71.5;481.122454;86250002.15;63.553;1.3;Low_Middle
1998;BGD;Bangladesh;0.068909407;2865.3;74.23;495.6267541;71220000.21;64.25;1.4927874;Low_Middle
1999;BGD;Bangladesh;0.067385762;3116.4;84.68;508.3852227;71270000.69;64.881;1.32;Low_Middle
2000;BGD;Bangladesh;0.065409215;3384.4;89.9;524.9458697;63830000.76;65.447;1.28;Low_Middle
2001;BGD;Bangladesh;0.063825681;3311;87.89;541.2916609;78300001.39;65.956;1.3;Low_Middle
2002;BGD;Bangladesh;0.062297096;3395;90.42;551.9030477;76769999.74;66.43;1.25;Low_Middle
2003;BGD;Bangladesh;0.061042378;3479.3;92.95;568.1392256;83320000.65;66.886;1.68;Low_Middle
2004;BGD;Bangladesh;0.059443843;3439.4;90.98;588.3272589;62419999.6;67.331;1.48;Low_Middle
2005;BGD;Bangladesh;0.056899135;3681.6;102.9;617.5426664;69530000.19;67.773;1.545;Low_Middle
2006;BGD;Bangladesh;0.055917788;3761.4;106.11;649.9298851;43480000.63;68.213;1.61;Low_Middle
2007;BGD;Bangladesh;0.054787462;4020.9;112.01;687.3230856;66080001.6;68.648;1.79;Low_Middle
2008;BGD;Bangladesh;0.054073283;4102.5;120.23;720.3570039;50590000.05;69.072;1.71;Low_Middle
2009;BGD;Bangladesh;0.053424779;4176;121.31;748.2960605;74020000.21;69.485;1.59;Low_Middle
2010;BGD;Bangladesh;0.052793341;4288.3;128.5;781.1535936;89210001.5;69.881;1.779541515;Low_Middle
2011;BGD;Bangladesh;0.051435692;4352.8;131.7;822.1883388;82070000.77;70.256;1.96908303;Low_Middle
2012;BGD;Bangladesh;0.050792076;4395.8;132.49;865.7498911;67688373.56;70.606;1.98471567;Low_Middle
2013;BGD;Bangladesh;0.05026031;4508.6;135.01;907.257418;74855811.65;70.93;1.799674323;Low_Middle
2014;BGD;Bangladesh;0.049631062;4540.9;140.96;951.314821;75038237.75;71.231;1.614632976;Low_Middle
2015;BGD;Bangladesh;0.04948435;4560.4;141.72;1002.388853;82190094.35;71.514;1.429591629;Low_Middle
2016;BGD;Bangladesh;0.04914964;4601;145.31;1062.040158;89593209.51;71.785;1.244550282;Low_Middle
2017;BGD;Bangladesh;0.049618667;4411.2;140.870142;1127.271768;66835302.78;72.052;1.244550282;Low_Middle
2018;BGD;Bangladesh;0.04938421;4551.769652;142.9510798;1203.216265;66803775.3;71.63452704;1.369777137;Low_Middle
2019;BGD;Bangladesh;0.049253403;4515.079089;144.2256399;1094.245772;0;71.84279235;1.280327855;Low_Middle
1949;BHS;Bahamas, The;0.060805587;666.7;35;17734.56733;0;64.74;3.3;High
1950;BHS;Bahamas, The;0.060805587;666.7;35;17734.56733;0;64.74;3.3;High
1951;BHS;Bahamas, The;0.060805587;666.7;35;17734.56733;0;64.74;3.3;High
1952;BHS;Bahamas, The;0.060805587;666.7;35;17734.56733;0;64.74;3.3;High
1953;BHS;Bahamas, The;0.060805587;666.7;35;17734.56733;0;64.74;3.3;High
1954;BHS;Bahamas, The;0.060805587;666.7;35;17734.56733;0;64.74;3.3;High
1955;BHS;Bahamas, The;0.060805587;666.7;35;17734.56733;0;64.74;3.3;High
1956;BHS;Bahamas, The;0.060805587;666.7;35;17734.56733;0;64.74;3.3;High
1957;BHS;Bahamas, The;0.060805587;666.7;35;17734.56733;0;64.74;3.3;High
1958;BHS;Bahamas, The;0.060805587;666.7;35;17734.56733;0;64.74;3.3;High
1959;BHS;Bahamas, The;0.060805587;666.7;35;17734.56733;0;64.74;3.3;High
1960;BHS;Bahamas, The;0.060805587;666.7;35;17734.56733;0;64.74;3.3;High
1961;BHS;Bahamas, The;0.060805587;666.7;35;18673.83474;0;64.885;3.3;High
1962;BHS;Bahamas, The;0.057807764;833.3;36.45;19608.7393;0;65.011;3.3;High
1963;BHS;Bahamas, The;0.054971376;833.3;38.54;20608.99977;0;65.121;3.3;High
1964;BHS;Bahamas, The;0.052352497;892.9;40.28;21688.33167;0;65.219;3.3;High
1965;BHS;Bahamas, The;0.049978937;909.1;42.6;22863.64769;0;65.31;3.3;High
1966;BHS;Bahamas, The;0.047820087;914.9;46.17;23860.62729;0;65.402;3.3;High
1967;BHS;Bahamas, The;0.045865548;937.5;48.44;25081.9423;0;65.499;3.3;High
1968;BHS;Bahamas, The;0.044122838;940;48.95;26161.00834;9999.999776;65.607;3.3;High
1969;BHS;Bahamas, The;0.04261329;980;46.36;27535.28274;19999.99955;65.73;3.3;High
1970;BHS;Bahamas, The;0.041327925;980.8;48.33;25195.99951;59999.99866;65.87;3.3;High
1971;BHS;Bahamas, The;0.040255565;990.7;47.13;24941.40554;109999.9994;66.031;3.3;High
1972;BHS;Bahamas, The;0.03935547;991;51.83;23530.94659;289999.9917;66.209;3.3;High
1973;BHS;Bahamas, The;0.038563881;1000;67.36;24802.55289;410000.0058;66.397;3.3;High
1974;BHS;Bahamas, The;0.03781331;1000;71.04;20245.22126;439999.9957;66.593;3.3;High
1975;BHS;Bahamas, The;0.037057428;1009.9;70.85;16903.50499;529999.9807;66.785;3.3;High
1976;BHS;Bahamas, The;0.036286539;1021.2;79.23;17410.11392;450000.0068;66.962;3.3;High
1977;BHS;Bahamas, The;0.035514787;1030.6;67.84;18599.81512;310000.0117;67.118;3.3;High
1978;BHS;Bahamas, The;0.034743247;1158.7;63.49;20775.81347;369999.9973;67.253;3.3;High
1979;BHS;Bahamas, The;0.033983222;1142.9;60.41;25633.18566;509999.9904;67.372;3.3412;High
1980;BHS;Bahamas, The;0.033239787;1141.3;59.84;26700.94494;1059999.991;67.488;3.3824;High
1981;BHS;Bahamas, The;0.032508847;1142.9;69.88;23704.42912;1119999.989;67.615;3.4236;High
1982;BHS;Bahamas, The;0.031791592;1165.4;66.39;24734.32991;719999.969;67.769;3.4648;High
1983;BHS;Bahamas, The;0.031099501;1250;63.86;25066.21027;579999.9833;67.962;3.506;High
1984;BHS;Bahamas, The;0.030444975;1333.3;67.19;28016.07271;940000.0125;68.196;3.5472;High
1985;BHS;Bahamas, The;0.034103795;1344.3;66.74;28786.21622;559999.9912;68.474;3.5884;High
1986;BHS;Bahamas, The;0.033470423;1344.3;64.56;28759.28281;599999.9941;68.793;3.6296;High
1987;BHS;Bahamas, The;0.032885136;1363.6;67.96;29099.69578;300000.0008;69.139;3.6708;High
1988;BHS;Bahamas, The;0.032329633;1400;69.09;29268.90126;389999.9894;69.496;3.712;High
1989;BHS;Bahamas, The;0.031779703;1400;73.35;30706.55712;549999.997;69.854;3.7532;High
1990;BHS;Bahamas, The;0.031222802;1500;72.91;29686.89784;569999.9928;70.199;3.7944;High
1991;BHS;Bahamas, The;0.030650402;1666.7;65.31;27923.97163;740000.0095;70.518;3.8356;High
1992;BHS;Bahamas, The;0.030071909;1666.7;65.19;26348.84556;439999.9865;70.807;3.8356;High
1993;BHS;Bahamas, The;0.029512781;1600;64.82;25938.53555;509999.9719;71.061;3.8356;High
1994;BHS;Bahamas, The;0.021751267;1793.1;62.48;26291.97935;410000.0151;71.276;3.8356;High
1995;BHS;Bahamas, The;0.021414499;1793.1;79.65;27018.34496;790000.0215;71.451;3.8356;High
1996;BHS;Bahamas, The;0.021128397;1793.1;90.62;27783.25708;340000.0036;71.589;3.8356;High
1997;BHS;Bahamas, The;0.020879878;1740;85.3;28022.67923;640000.0044;71.698;3.8356;High
1998;BHS;Bahamas, The;0.020647151;1984.2;106.06;29017.29104;549999.997;71.786;3.8356;High
1999;BHS;Bahamas, The;0.02040386;2165.7;109.49;30723.97524;650000.0134;71.858;3.8356;High
2000;BHS;Bahamas, The;0.023485913;2476.2;84.86;31570.52817;330000.0131;71.914;3.8356;High
2001;BHS;Bahamas, The;0.023131473;3000;88.52;31910.50956;420000.0074;71.954;3.8356;High
2002;BHS;Bahamas, The;0.022752389;3050;86.7;32236.44879;539999.9898;71.977;3.8356;High
2003;BHS;Bahamas, The;0.022355004;3400;94.76;31272.83812;540000.0215;71.986;3.8356;High
2004;BHS;Bahamas, The;0.021950868;3550;99.14;30978.58232;300000.0119;71.988;3.8356;High
2005;BHS;Bahamas, The;0.02154781;3600;98.77;31442.27887;0;71.987;3.8356;High
2006;BHS;Bahamas, The;0.021145928;3800;102.09;31632.45349;0;71.988;3.8356;High
2007;BHS;Bahamas, The;0.020747564;4000;105.53;31485.49374;0;71.998;3.8356;High
2008;BHS;Bahamas, The;0.020367725;4761.9;106.17;30190.75104;0;72.022;3.8356;High
2009;BHS;Bahamas, The;0.025743413;6000;103.5;28440.07222;0;72.067;3.8356;High
2010;BHS;Bahamas, The;0.025356255;7533.3;123;28443.40766;0;72.144;3.8356;High
2011;BHS;Bahamas, The;0.022248364;7308.5;127.36;28248.84978;0;72.263;3.8356;High
2012;BHS;Bahamas, The;0.022003168;7340.4;127.24;28799.92141;0;72.424;3.8356;High
2013;BHS;Bahamas, The;0.021788391;7413.2;128.71;27676.89741;0;72.62;3.8356;High
2014;BHS;Bahamas, The;0.021584694;7895.6;129.26;27620.09553;0;72.847;3.8356;High
2015;BHS;Bahamas, The;0.021378599;8234.5;129.89;27519.84808;0;73.088;3.8356;High
2016;BHS;Bahamas, The;0.021167885;8526.1;130.89;27370.20254;0;73.329;3.8356;High
2017;BHS;Bahamas, The;0.021490041;8817.8;129.592696;27113.67537;0;73.554;3.8356;High
2018;BHS;Bahamas, The;0.021331242;8356.781098;130.1834595;27261.21448;0;73.19586845;3.8356;High
2019;BHS;Bahamas, The;0.021237202;8589.398891;130.5732595;27287.94625;0;73.37546782;3.8356;High
1949;BLZ;Belize;0.380135793;596.4;14.06;1057.002735;0;59.981;4.2;Low_Middle
1950;BLZ;Belize;0.380135793;596.4;14.06;1057.002735;0;59.981;4.2;Low_Middle
1951;BLZ;Belize;0.380135793;596.4;14.06;1057.002735;0;59.981;4.2;Low_Middle
1952;BLZ;Belize;0.380135793;596.4;14.06;1057.002735;0;59.981;4.2;Low_Middle
1953;BLZ;Belize;0.380135793;596.4;14.06;1057.002735;0;59.981;4.2;Low_Middle
1954;BLZ;Belize;0.380135793;596.4;14.06;1057.002735;0;59.981;4.2;Low_Middle
1955;BLZ;Belize;0.380135793;596.4;14.06;1057.002735;0;59.981;4.2;Low_Middle
1956;BLZ;Belize;0.380135793;596.4;14.06;1057.002735;0;59.981;4.2;Low_Middle
1957;BLZ;Belize;0.380135793;596.4;14.06;1057.002735;0;59.981;4.2;Low_Middle
1958;BLZ;Belize;0.380135793;596.4;14.06;1057.002735;0;59.981;4.2;Low_Middle
1959;BLZ;Belize;0.380135793;596.4;14.06;1057.002735;0;59.981;4.2;Low_Middle
1960;BLZ;Belize;0.380135793;596.4;14.06;1057.002735;0;59.981;4.2;Low_Middle
1961;BLZ;Belize;0.380135793;596.4;14.06;1077.818736;0;60.531;4.2;Low_Middle
1962;BLZ;Belize;0.369670582;598.8;12.01;1099.428328;0;61.092;4.2;Low_Middle
1963;BLZ;Belize;0.369394194;694.8;13.16;1121.894296;0;61.663;4.2;Low_Middle
1964;BLZ;Belize;0.358982817;697.3;15.92;1144.786078;0;62.241;4.2;Low_Middle
1965;BLZ;Belize;0.348665178;742;17.05;1166.705284;0;62.823;4.2;Low_Middle
1966;BLZ;Belize;0.347517536;550.9;19.7;1186.281857;0;63.402;4.2;Low_Middle
1967;BLZ;Belize;0.337202286;1027.9;21.83;1207.623317;0;63.971;4.2;Low_Middle
1968;BLZ;Belize;0.327414032;1176.3;24.5;1258.954396;0;64.525;4.2;Low_Middle
1969;BLZ;Belize;0.32701386;1272.7;22.11;1287.736239;99999.99777;65.058;4.2;Low_Middle
1970;BLZ;Belize;0.319195954;1628.7;23.53;1317.380702;169999.9981;65.566;4.2;Low_Middle
1971;BLZ;Belize;0.320530799;1529.1;25.26;1340.887178;129999.999;66.047;4.1825905;Low_Middle
1972;BLZ;Belize;0.314589068;1414.9;26.41;1450.506976;169999.9962;66.504;4.1825905;Low_Middle
1973;BLZ;Belize;0.317106749;1860.7;28.83;1502.796459;230000.0061;66.939;4.1825905;Low_Middle
1974;BLZ;Belize;0.312245349;1313.2;31.51;1680.412806;240000.0096;67.354;4.1825905;Low_Middle
1975;BLZ;Belize;0.315173345;1054.7;29.23;1715.274878;409999.9945;67.751;4.1825905;Low_Middle
1976;BLZ;Belize;0.310772714;1450.4;27.72;1690.74982;390000.0118;68.135;4.1825905;Low_Middle
1977;BLZ;Belize;0.313893816;1592.2;34.16;1776.379627;339999.9999;68.509;4.1825905;Low_Middle
1978;BLZ;Belize;0.309430432;1851.9;38.15;1889.823444;299999.9951;68.874;4.1825905;Low_Middle
1979;BLZ;Belize;0.304306288;1711.2;35.25;1998.23407;460000.0047;69.229;4.1825905;Low_Middle
1980;BLZ;Belize;0.31216399;1988.6;40.67;2221.916287;449999.9918;69.577;4.1825905;Low_Middle
1981;BLZ;Belize;0.311724923;2071.5;40.37;2195.165649;500000.013;69.921;4.1825905;Low_Middle
1982;BLZ;Belize;0.303630363;2030.5;42.91;2135.860765;699999.9899;70.257;4.1825905;Low_Middle
1983;BLZ;Belize;0.295208635;1865.2;41.28;2032.113192;759999.996;70.575;4.1825905;Low_Middle
1984;BLZ;Belize;0.286877834;1526;41.47;2013.710548;649999.9948;70.865;4.1825905;Low_Middle
1985;BLZ;Belize;0.260730895;1515.9;40.9;1977.684929;1050000.019;71.11;4.6;Low_Middle
1986;BLZ;Belize;0.259482921;1753;42.56;2010.802448;739999.9836;71.294;3.9619687;Low_Middle
1987;BLZ;Belize;0.281092244;1706.6;47.25;2165.968761;869999.9899;71.405;4.249448;Low_Middle
1988;BLZ;Belize;0.279285922;1686.6;45.49;2315.432784;1120000.012;71.437;4.249448;Low_Middle
1989;BLZ;Belize;0.283426628;1612.4;46.62;2553.314585;999999.9981;71.386;4.249448;Low_Middle
1990;BLZ;Belize;0.277256441;2013.8;53.14;2783.553864;1380000.012;71.242;4.5369273;Low_Middle
1991;BLZ;Belize;0.282533171;2485.1;50.09;3044.610775;1700000.02;70.996;4.4;Low_Middle
1992;BLZ;Belize;0.288178506;2289.7;61.06;3355.661324;3549999.945;70.662;4.2;High_Middle
1993;BLZ;Belize;0.303609922;2185.3;65.11;3506.737155;4489999.898;70.268;4.4;High_Middle
1994;BLZ;Belize;0.297500992;1898.1;62.25;3441.619799;4630000.032;69.845;5.2;High_Middle
1995;BLZ;Belize;0.299570455;1917.7;67.08;3375.374233;3090000.031;69.439;5.4;High_Middle
1996;BLZ;Belize;0.294855474;2504.9;71.9;3316.21019;2270000.022;69.1;4.9;High_Middle
1997;BLZ;Belize;0.288834732;2394.2;79.36;3311.087053;2030000.024;68.858;4.8;High_Middle
1998;BLZ;Belize;0.277965984;2458.5;73.5;3305.687426;1879999.958;68.734;5.1650204;High_Middle
1999;BLZ;Belize;0.267795873;2805.4;79.77;3464.328551;2230000.034;68.734;5.1425102;High_Middle
2000;BLZ;Belize;0.25877929;2418.3;90.74;3783.540517;1310000.006;68.847;5.12;High_Middle
2001;BLZ;Belize;0.254839001;3100;88.86;3852.610809;1789999.969;69.04;5.01;High_Middle
2002;BLZ;Belize;0.266790661;2448.9;84.8;3936.951479;1359999.947;69.272;5.055;High_Middle
2003;BLZ;Belize;0.259812564;2851.8;88.71;4191.609328;919999.9813;69.511;5.1;High_Middle
2004;BLZ;Belize;0.253160895;2365.7;99.24;4274.138256;729999.9782;69.749;5.1;High_Middle
2005;BLZ;Belize;0.246652572;2869.5;101.45;4271.612591;1240000.026;69.998;5.328571429;High_Middle
