Year;Country Code;Country Name;Arable land (hectares per person);Cereal yield (kg per hectare);Food production index (2004-2006 = 100);GDP per capita (constant 2010 US$);Net flows from UN agencies US$;Life expectancy at birth, total (years);Adjusted savings: education expenditure (% of GNI);Income_level_Final
1949;AUS;Australia;2.879423829;1083.9;36.64;19378.37079;0;70.81707317;4.9812274;High
1950;AUS;Australia;2.879423829;1083.9;36.64;19378.37079;0;70.81707317;4.9812274;High
1951;AUS;Australia;2.879423829;1083.9;36.64;19378.37079;0;70.81707317;4.9812274;High
1952;AUS;Australia;2.879423829;1083.9;36.64;19378.37079;0;70.81707317;4.9812274;High
1953;AUS;Australia;2.879423829;1083.9;36.64;19378.37079;0;70.81707317;4.9812274;High
1954;AUS;Australia;2.879423829;1083.9;36.64;19378.37079;0;70.81707317;4.9812274;High
1955;AUS;Australia;2.879423829;1083.9;36.64;19378.37079;0;70.81707317;4.9812274;High
1956;AUS;Australia;2.879423829;1083.9;36.64;19378.37079;0;70.81707317;4.9812274;High
1957;AUS;Australia;2.879423829;1083.9;36.64;19378.37079;0;70.81707317;4.9812274;High
1958;AUS;Australia;2.879423829;1083.9;36.64;19378.37079;0;70.81707317;4.9812274;High
1959;AUS;Australia;2.879423829;1083.9;36.64;19378.37079;0;70.81707317;4.9812274;High
1960;AUS;Australia;2.879423829;1083.9;36.64;19378.37079;0;70.81707317;4.9812274;High
1961;AUS;Australia;2.879423829;1083.9;36.64;19468.81782;0;70.97317073;4.9812274;High
1962;AUS;Australia;2.988549618;1217.3;41.52;19245.62026;0;70.94243902;4.9812274;High
1963;AUS;Australia;3.016803653;1285.2;43.22;20053.36379;0;70.91170732;4.9812274;High
1964;AUS;Australia;3.168263634;1323.7;46.13;21035.91831;0;70.88097561;4.9812274;High
1965;AUS;Australia;3.246048472;983.5;44.42;21861.95759;0;70.8502439;4.9812274;High
1966;AUS;Australia;3.400051498;1441.6;48.85;21877.57741;0;70.8195122;4.9812274;High
1967;AUS;Australia;3.498432071;830.8;44.34;22964.70014;0;70.86926829;4.9812274;High
1968;AUS;Australia;3.44658173;1338.7;51.05;23712.90872;0;70.91902439;4.9812274;High
1969;AUS;Australia;3.384163745;1114.9;48.25;24857.54409;0;70.96878049;4.9812274;High
1970;AUS;Australia;3.327256736;1217.6;50.67;26120.64947;0;71.01853659;4.9812274;High
1971;AUS;Australia;3.177707351;1269.6;53.3;26263.48967;0;71.06829268;4.9812274;High
1972;AUS;Australia;3.082340442;933.1;54.77;26794.02202;0;71.45756098;4.9812274;High
1973;AUS;Australia;3.00568012;1318.5;58.83;27077.1153;0;71.84682927;4.9812274;High
1974;AUS;Australia;3.069372586;1393.6;53.46;27483.68695;0;72.23609756;4.9812274;High
1975;AUS;Australia;3.039372346;1414;58.04;27513.86851;0;72.62536585;4.9812274;High
1976;AUS;Australia;2.998361006;1345.5;61.82;27944.23363;0;73.01463415;4.9812274;High
1977;AUS;Australia;2.895081736;987.5;61.02;28625.19424;0;73.34439024;4.9812274;High
1978;AUS;Australia;2.961275944;1680.2;70;28547.98254;0;73.67414634;5.1;High
1979;AUS;Australia;3.026870608;1510.2;66.94;29383.07357;0;74.00390244;5;High
1980;AUS;Australia;2.996937109;1052.3;59.15;29907.78635;0;74.33365854;5;High
1981;AUS;Australia;2.881623903;1401.5;63.12;30419.53253;0;74.66341463;5;High
1982;AUS;Australia;3.05534326;875.6;57.57;30912.22222;0;74.90487805;5;High
1983;AUS;Australia;2.916064806;1646.2;68.41;29850.19433;0;75.14634146;5;High
1984;AUS;Australia;3.02882141;1609.3;65.01;30866.25182;0;75.38780488;5.1;High
1985;AUS;Australia;2.992130981;1453.1;64.69;32045.31602;0;75.62926829;5;High
1986;AUS;Australia;2.922451681;1521.9;66.3;32797.09464;0;75.87073171;4.9;High
1987;AUS;Australia;2.886208105;1436;65.19;33126.79271;0;76.15170732;4.7;High
1988;AUS;Australia;2.842936814;1629.4;67.81;34460.03653;0;76.43268293;4.6;High
1989;AUS;Australia;2.836854125;1676.4;67.02;35191.11444;0;76.71365854;4.5;High
1990;AUS;Australia;2.806898289;1716.1;69.98;35912.20924;0;76.99463415;4.4;High
1991;AUS;Australia;2.644063874;1603.4;69.26;35316.53701;0;77.27560976;4.4;High
1992;AUS;Australia;2.69791369;1896.6;74.63;35034.53266;0;77.37804878;4.5;High
1993;AUS;Australia;2.62070527;1979.5;78.22;36091.38898;0;77.87804878;5.2;High
1994;AUS;Australia;2.649117894;1266.7;73.42;37133.6484;0;77.87804878;5.2;High
1995;AUS;Australia;2.218736166;1871;80.79;38095.12953;0;77.82926829;4.88583797;High
