,SID,NAME,SEASON,COUNTRY,pop_max_34,pop_max_50,pop_max_64
0,2004247N10332,IVAN,2004,Bahamas,48960.42578125,9278.7314453125,0.0
1,2004247N10332,IVAN,2004,Colombia,57264.1171875,0.0,0.0
2,2004247N10332,IVAN,2004,Cuba,835953.5,533058.0,170371.3125
3,2004247N10332,IVAN,2004,Haiti,830962.0625,0.0,0.0
4,2004247N10332,IVAN,2004,Jamaica,2753687.5,2721410.0,1808295.0
5,2004247N10332,IVAN,2004,Mexico,1181001.75,743411.25,0.0
6,2004247N10332,IVAN,2004,Trinidad and Tobago,1286384.75,1057452.75,4424.248046875
7,2004247N10332,IVAN,2004,United States of America,23432040.0,10807914.0,1804434.875
8,2004247N10332,IVAN,2004,Venezuela,2182950.0,310364.96875,0.0
