Country Name,Country Code,2015,2018
Aruba,ABW,104341,105845
Afghanistan,AFG,34413603,37172386
Angola,AGO,27884381,30809762
Albania,ALB,2880703,2866376
Andorra,AND,78011,77006
Arab World,ARB,396028278,419790588
United Arab Emirates,ARE,9262900,9630959
Argentina,ARG,43131966,44494502
Armenia,ARM,2925553,2951776
American Samoa,ASM,55812,55465
Antigua and Barbuda,ATG,93566,96286
Australia,AUS,23815995,24982688
Austria,AUT,8642699,8840521
Azerbaijan,AZE,9649341,9939800
Burundi,BDI,10160030,11175378
Belgium,BEL,11274196,11433256
Benin,BEN,10575952,11485048
Burkina Faso,BFA,18110624,19751535
Bangladesh,BGD,156256276,161356039
Bulgaria,BGR,7177991,7025037
Bahrain,BHR,1371851,1569439
"Bahamas, The",BHS,374206,385640
Bosnia and Herzegovina,BIH,3429361,3323929
Belarus,BLR,9489616,9483499
Belize,BLZ,360933,383071
Bermuda,BMU,65239,63973
Bolivia,BOL,10869730,11353142
Brazil,BRA,204471769,209469333
Barbados,BRB,285324,286641
Brunei Darussalam,BRN,414907,428962
Bhutan,BTN,727876,754394
Botswana,BWA,2120716,2254126
Central African Republic,CAF,4493170,4666377
Canada,CAN,35702908,37057765
Central Europe and the Baltics,CEB,103257751,102511922
Switzerland,CHE,8282396,8513227
Channel Islands,CHI,165385,170499
Chile,CHL,17969353,18729160
China,CHN,1371220000,1392730000
Cote d'Ivoire,CIV,23226143,25069229
Cameroon,CMR,23298368,25216237
"Congo, Dem. Rep.",COD,76244544,84068091
"Congo, Rep.",COG,4856095,5244363
Colombia,COL,47520667,49648685
Comoros,COM,777424,832322
Cabo Verde,CPV,524743,543767
Costa Rica,CRI,4847804,4999441
Caribbean small states,CSS,7222212,7358965
Cuba,CUB,11324781,11338138
Curacao,CUW,157980,159800
Cayman Islands,CYM,61724,64174
Cyprus,CYP,1160985,1189265
Czech Republic,CZE,10546059,10629928
Germany,DEU,81686611,82905782
Djibouti,DJI,913993,958920
Dominica,DMA,71183,71625
Denmark,DNK,5683483,5793636
Dominican Republic,DOM,10281680,10627165
Algeria,DZA,39728025,42228429
East Asia & Pacific (excluding high income),EAP,2038202511,2081651801
Early-demographic dividend,EAR,3122841922,3249140605
East Asia & Pacific,EAS,2282855831,2328220870
Europe & Central Asia (excluding high income),ECA,410844329,417797257
Europe & Central Asia,ECS,907498192,918793590
Ecuador,ECU,16212020,17084357
"Egypt, Arab Rep.",EGY,92442547,98423595
Euro area,EMU,339533474,341783171
Eritrea,ERI,,
Spain,ESP,46444832,46796540
Estonia,EST,1315407,1321977
Ethiopia,ETH,100835458,109224559
European Union,EUU,444543759,446786293
Fragile and conflict affected situations,FCS,696655368,743958386
Finland,FIN,5479531,5515525
Fiji,FJI,868627,883483
France,FRA,66548272,66977107
Faroe Islands,FRO,48051,48497
"Micronesia, Fed. Sts.",FSM,108895,112640
Gabon,GAB,1947686,2119275
United Kingdom,GBR,65116219,66460344
Georgia,GEO,3725276,3726549
Ghana,GHA,27849205,29767108
Gibraltar,GIB,33736,33718
Guinea,GIN,11432088,12414318
"Gambia, The",GMB,2085860,2280102
Guinea-Bissau,GNB,1737202,1874309
Equatorial Guinea,GNQ,1168568,1308974
Greece,GRC,10820883,10731726
Grenada,GRD,109599,111454
Greenland,GRL,56114,56025
Guatemala,GTM,16252429,17247807
Guam,GUM,161853,165768
Guyana,GUY,767432,779004
High income,HIC,1191326855,1210312147
"Hong Kong SAR, China",HKG,7291300,7451000
Honduras,HND,9112916,9587522
Heavily indebted poor countries (HIPC),HPC,718128416,780234406
Croatia,HRV,4203604,4087843
Haiti,HTI,10695542,11123176
