,SID,SEASON,BASIN,NAME,ISO_TIME,LAT,LON,R34_,R34,R50,R64
584132,2004247N10332,2004,,IVAN,2004-09-06 09:00:00,10.89,-51.51,100.0,110.0,50.0,30.0
584133,2004247N10332,2004,,IVAN,2004-09-06 12:00:00,11.0,-52.5,100.0,120.0,50.0,30.0
584134,2004247N10332,2004,,IVAN,2004-09-06 15:00:00,11.17,-53.47,75.0,120.0,62.0,37.0
584135,2004247N10332,2004,,IVAN,2004-09-06 18:00:00,11.3,-54.4,50.0,120.0,75.0,45.0
584136,2004247N10332,2004,,IVAN,2004-09-06 21:00:00,11.26,-55.27,50.0,130.0,75.0,52.0
584137,2004247N10332,2004,,IVAN,2004-09-07 00:00:00,11.2,-56.1,50.0,140.0,75.0,60.0
584138,2004247N10332,2004,,IVAN,2004-09-07 03:00:00,11.22,-56.96,55.0,140.0,82.0,60.0
584139,2004247N10332,2004,,IVAN,2004-09-07 06:00:00,11.3,-57.8,60.0,140.0,90.0,60.0
584140,2004247N10332,2004,,IVAN,2004-09-07 09:00:00,11.44,-58.6,60.0,140.0,90.0,60.0
584141,2004247N10332,2004,,IVAN,2004-09-07 12:00:00,11.6,-59.4,60.0,140.0,90.0,60.0
584142,2004247N10332,2004,,IVAN,2004-09-07 15:00:00,11.71,-60.29,45.0,140.0,95.0,60.0
584143,2004247N10332,2004,,IVAN,2004-09-07 18:00:00,11.8,-61.1,30.0,140.0,100.0,60.0
584144,2004247N10332,2004,,IVAN,2004-09-07 21:00:00,11.88,-61.68,40.0,140.0,100.0,60.0
584145,2004247N10332,2004,,IVAN,2004-09-07 21:30:00,11.9,-61.8,41.0,140.0,100.0,60.0
584146,2004247N10332,2004,,IVAN,2004-09-08 00:00:00,12.0,-62.6,50.0,140.0,100.0,60.0
584147,2004247N10332,2004,,IVAN,2004-09-08 03:00:00,12.14,-63.4,50.0,140.0,100.0,60.0
584148,2004247N10332,2004,,IVAN,2004-09-08 06:00:00,12.3,-64.1,50.0,140.0,100.0,60.0
584149,2004247N10332,2004,,IVAN,2004-09-08 09:00:00,12.44,-64.8,50.0,140.0,100.0,60.0
584150,2004247N10332,2004,,IVAN,2004-09-08 12:00:00,12.6,-65.5,50.0,140.0,100.0,60.0
584151,2004247N10332,2004,,IVAN,2004-09-08 15:00:00,12.8,-66.26,50.0,140.0,100.0,60.0
584152,2004247N10332,2004,,IVAN,2004-09-08 18:00:00,13.0,-67.0,50.0,140.0,100.0,60.0
584153,2004247N10332,2004,,IVAN,2004-09-08 21:00:00,13.15,-67.67,62.0,140.0,100.0,55.0
584154,2004247N10332,2004,,IVAN,2004-09-09 00:00:00,13.3,-68.3,75.0,140.0,100.0,50.0
584155,2004247N10332,2004,,IVAN,2004-09-09 03:00:00,13.48,-68.9,75.0,140.0,100.0,50.0
584156,2004247N10332,2004,,IVAN,2004-09-09 06:00:00,13.7,-69.5,75.0,140.0,100.0,50.0
584157,2004247N10332,2004,,IVAN,2004-09-09 09:00:00,13.94,-70.16,75.0,140.0,100.0,50.0
584158,2004247N10332,2004,,IVAN,2004-09-09 12:00:00,14.2,-70.8,75.0,140.0,100.0,50.0
584159,2004247N10332,2004,,IVAN,2004-09-09 15:00:00,14.45,-71.38,67.0,140.0,80.0,40.0
584160,2004247N10332,2004,,IVAN,2004-09-09 18:00:00,14.7,-71.9,60.0,140.0,60.0,30.0
584161,2004247N10332,2004,,IVAN,2004-09-09 21:00:00,14.95,-72.36,75.0,145.0,92.0,37.0
584162,2004247N10332,2004,,IVAN,2004-09-10 00:00:00,15.2,-72.8,90.0,150.0,125.0,45.0
584163,2004247N10332,2004,,IVAN,2004-09-10 03:00:00,15.45,-73.3,90.0,150.0,125.0,45.0
584164,2004247N10332,2004,,IVAN,2004-09-10 06:00:00,15.7,-73.8,90.0,150.0,125.0,45.0
584165,2004247N10332,2004,,IVAN,2004-09-10 09:00:00,15.94,-74.24,90.0,150.0,100.0,47.0
584166,2004247N10332,2004,,IVAN,2004-09-10 12:00:00,16.2,-74.7,90.0,150.0,75.0,50.0
584167,2004247N10332,2004,,IVAN,2004-09-10 15:00:00,16.5,-75.26,90.0,150.0,75.0,50.0
584168,2004247N10332,2004,,IVAN,2004-09-10 18:00:00,16.8,-75.8,90.0,150.0,75.0,50.0
584169,2004247N10332,2004,,IVAN,2004-09-10 21:00:00,17.09,-76.13,90.0,150.0,75.0,50.0
584170,2004247N10332,2004,,IVAN,2004-09-11 00:00:00,17.3,-76.5,90.0,150.0,75.0,50.0
584171,2004247N10332,2004,,IVAN,2004-09-11 03:00:00,17.39,-77.1,95.0,150.0,67.0,45.0
584172,2004247N10332,2004,,IVAN,2004-09-11 03:30:00,17.4,-77.2,95.0,150.0,66.0,44.0
584173,2004247N10332,2004,,IVAN,2004-09-11 06:00:00,17.4,-77.6,100.0,150.0,60.0,40.0
584174,2004247N10332,2004,,IVAN,2004-09-11 09:00:00,17.52,-78.03,100.0,150.0,60.0,40.0
584175,2004247N10332,2004,,IVAN,2004-09-11 12:00:00,17.7,-78.4,100.0,150.0,60.0,40.0
584176,2004247N10332,2004,,IVAN,2004-09-11 15:00:00,17.86,-78.72,100.0,150.0,67.0,50.0
584177,2004247N10332,2004,,IVAN,2004-09-11 18:00:00,18.0,-79.0,100.0,150.0,75.0,60.0
584178,2004247N10332,2004,,IVAN,2004-09-11 21:00:00,18.11,-79.29,100.0,150.0,82.0,60.0
584179,2004247N10332,2004,,IVAN,2004-09-12 00:00:00,18.2,-79.6,100.0,150.0,90.0,60.0
584180,2004247N10332,2004,,IVAN,2004-09-12 03:00:00,18.29,-79.99,100.0,150.0,95.0,70.0
584181,2004247N10332,2004,,IVAN,2004-09-12 06:00:00,18.4,-80.4,100.0,150.0,100.0,80.0
584182,2004247N10332,2004,,IVAN,2004-09-12 09:00:00,18.6,-80.8,100.0,150.0,100.0,80.0
584183,2004247N10332,2004,,IVAN,2004-09-12 12:00:00,18.8,-81.2,100.0,150.0,100.0,80.0
584184,2004247N10332,2004,,IVAN,2004-09-12 14:15:00,18.9,-81.5,100.0,150.0,100.0,80.0
584185,2004247N10332,2004,,IVAN,2004-09-12 15:00:00,18.94,-81.61,100.0,150.0,100.0,80.0
584186,2004247N10332,2004,,IVAN,2004-09-12 18:00:00,19.1,-82.1,100.0,150.0,100.0,80.0
584187,2004247N10332,2004,,IVAN,2004-09-12 21:00:00,19.29,-82.47,112.0,150.0,112.0,80.0
584188,2004247N10332,2004,,IVAN,2004-09-13 00:00:00,19.5,-82.8,125.0,150.0,125.0,80.0
584189,2004247N10332,2004,,IVAN,2004-09-13 03:00:00,19.69,-83.16,125.0,137.0,125.0,85.0
584190,2004247N10332,2004,,IVAN,2004-09-13 06:00:00,19.9,-83.5,125.0,125.0,125.0,90.0
584191,2004247N10332,2004,,IVAN,2004-09-13 09:00:00,20.14,-83.81,125.0,125.0,125.0,90.0
584192,2004247N10332,2004,,IVAN,2004-09-13 12:00:00,20.4,-84.1,125.0,125.0,125.0,90.0
584193,2004247N10332,2004,,IVAN,2004-09-13 15:00:00,20.64,-84.44,132.0,137.0,125.0,95.0
584194,2004247N10332,2004,,IVAN,2004-09-13 18:00:00,20.9,-84.7,140.0,150.0,125.0,100.0
584195,2004247N10332,2004,,IVAN,2004-09-13 21:00:00,21.2,-84.8,132.0,150.0,125.0,92.0
584196,2004247N10332,2004,,IVAN,2004-09-14 00:00:00,21.6,-85.1,125.0,150.0,125.0,85.0
584197,2004247N10332,2004,,IVAN,2004-09-14 01:00:00,21.7,-85.2,125.0,150.0,125.0,85.0
584198,2004247N10332,2004,,IVAN,2004-09-14 03:00:00,21.96,-85.38,125.0,150.0,125.0,85.0
584199,2004247N10332,2004,,IVAN,2004-09-14 06:00:00,22.4,-85.6,125.0,150.0,125.0,85.0
584200,2004247N10332,2004,,IVAN,2004-09-14 09:00:00,22.71,-85.8,137.0,175.0,125.0,85.0
584201,2004247N10332,2004,,IVAN,2004-09-14 12:00:00,23.0,-86.0,150.0,200.0,125.0,85.0
584202,2004247N10332,2004,,IVAN,2004-09-14 15:00:00,23.32,-86.24,150.0,200.0,150.0,87.0
584203,2004247N10332,2004,,IVAN,2004-09-14 18:00:00,23.7,-86.5,150.0,200.0,175.0,90.0
584204,2004247N10332,2004,,IVAN,2004-09-14 21:00:00,24.18,-86.76,150.0,200.0,175.0,90.0
584205,2004247N10332,2004,,IVAN,2004-09-15 00:00:00,24.7,-87.0,150.0,200.0,175.0,90.0
584206,2004247N10332,2004,,IVAN,2004-09-15 03:00:00,25.14,-87.2,150.0,200.0,175.0,90.0
584207,2004247N10332,2004,,IVAN,2004-09-15 06:00:00,25.6,-87.4,150.0,200.0,175.0,90.0
584208,2004247N10332,2004,,IVAN,2004-09-15 09:00:00,26.13,-87.66,150.0,187.0,162.0,90.0
584209,2004247N10332,2004,,IVAN,2004-09-15 12:00:00,26.7,-87.9,150.0,175.0,150.0,90.0
584210,2004247N10332,2004,,IVAN,2004-09-15 15:00:00,27.31,-88.09,137.0,162.0,137.0,90.0
584211,2004247N10332,2004,,IVAN,2004-09-15 18:00:00,27.9,-88.2,125.0,150.0,125.0,90.0
584212,2004247N10332,2004,,IVAN,2004-09-15 21:00:00,28.41,-88.25,125.0,150.0,125.0,90.0
584213,2004247N10332,2004,,IVAN,2004-09-16 00:00:00,28.9,-88.2,125.0,150.0,125.0,90.0
584214,2004247N10332,2004,,IVAN,2004-09-16 03:00:00,29.4,-88.03,125.0,125.0,125.0,90.0
584215,2004247N10332,2004,,IVAN,2004-09-16 06:00:00,30.0,-87.9,125.0,100.0,125.0,90.0
584216,2004247N10332,2004,,IVAN,2004-09-16 06:50:00,30.2,-87.9,125.0,96.0,116.0,83.0
584217,2004247N10332,2004,,IVAN,2004-09-16 09:00:00,30.72,-87.85,125.0,87.0,95.0,67.0
584218,2004247N10332,2004,,IVAN,2004-09-16 12:00:00,31.4,-87.7,125.0,75.0,65.0,45.0
584219,2004247N10332,2004,,IVAN,2004-09-16 15:00:00,31.96,-87.6,82.0,57.0,42.0,
584220,2004247N10332,2004,,IVAN,2004-09-16 18:00:00,32.5,-87.4,40.0,40.0,20.0,
584221,2004247N10332,2004,,IVAN,2004-09-16 21:00:00,33.17,-86.99,39.0,41.0,20.0,
584222,2004247N10332,2004,,IVAN,2004-09-17 00:00:00,33.8,-86.5,39.0,42.0,20.0,
584223,2004247N10332,2004,,IVAN,2004-09-17 03:00:00,34.29,-86.16,38.0,43.0,20.0,
584224,2004247N10332,2004,,IVAN,2004-09-17 06:00:00,34.7,-85.7,38.0,44.0,20.0,
584225,2004247N10332,2004,,IVAN,2004-09-17 09:00:00,35.06,-84.92,38.0,45.0,20.0,
584226,2004247N10332,2004,,IVAN,2004-09-17 12:00:00,35.4,-84.0,37.0,46.0,20.0,
584227,2004247N10332,2004,,IVAN,2004-09-17 15:00:00,35.79,-83.16,37.0,47.0,20.0,
584228,2004247N10332,2004,,IVAN,2004-09-17 18:00:00,36.2,-82.3,37.0,48.0,20.0,
584229,2004247N10332,2004,,IVAN,2004-09-17 21:00:00,36.61,-81.42,36.0,50.0,20.0,
584230,2004247N10332,2004,,IVAN,2004-09-18 00:00:00,37.0,-80.5,36.0,51.0,20.0,
584231,2004247N10332,2004,,IVAN,2004-09-18 03:00:00,37.36,-79.5,35.0,52.0,20.0,
584232,2004247N10332,2004,,IVAN,2004-09-18 06:00:00,37.7,-78.5,35.0,53.0,20.0,
584233,2004247N10332,2004,,IVAN,2004-09-18 09:00:00,38.13,-77.54,35.0,54.0,20.0,
584234,2004247N10332,2004,,IVAN,2004-09-18 12:00:00,38.4,-76.7,34.0,55.0,20.0,
584235,2004247N10332,2004,,IVAN,2004-09-18 15:00:00,38.29,-76.08,34.0,56.0,20.0,
584236,2004247N10332,2004,,IVAN,2004-09-18 18:00:00,38.0,-75.5,34.0,57.0,20.0,
584237,2004247N10332,2004,,IVAN,2004-09-18 21:00:00,37.83,-74.66,33.0,58.0,20.0,
584238,2004247N10332,2004,,IVAN,2004-09-19 00:00:00,37.5,-74.0,33.0,60.0,20.0,
584239,2004247N10332,2004,,IVAN,2004-09-19 03:00:00,36.82,-73.85,32.0,67.0,20.0,
584240,2004247N10332,2004,,IVAN,2004-09-19 06:00:00,36.0,-74.0,32.0,75.0,20.0,
584241,2004247N10332,2004,,IVAN,2004-09-19 09:00:00,35.26,-74.15,32.0,75.0,20.0,
584242,2004247N10332,2004,,IVAN,2004-09-19 12:00:00,34.5,-74.5,31.0,75.0,20.0,
584243,2004247N10332,2004,,IVAN,2004-09-19 15:00:00,33.67,-75.06,31.0,75.0,20.0,
584244,2004247N10332,2004,,IVAN,2004-09-19 18:00:00,32.8,-75.8,31.0,75.0,20.0,
584245,2004247N10332,2004,,IVAN,2004-09-19 21:00:00,31.92,-76.67,30.0,75.0,20.0,
584246,2004247N10332,2004,,IVAN,2004-09-20 00:00:00,31.0,-77.5,30.0,75.0,20.0,
584247,2004247N10332,2004,,IVAN,2004-09-20 03:00:00,29.98,-78.11,30.0,67.0,20.0,
584248,2004247N10332,2004,,IVAN,2004-09-20 06:00:00,29.0,-78.5,29.0,60.0,20.0,
584249,2004247N10332,2004,,IVAN,2004-09-20 09:00:00,28.18,-78.64,29.0,59.0,20.0,
584250,2004247N10332,2004,,IVAN,2004-09-20 12:00:00,27.5,-78.7,28.0,58.0,20.0,
584251,2004247N10332,2004,,IVAN,2004-09-20 15:00:00,26.86,-78.87,28.0,57.0,20.0,
584252,2004247N10332,2004,,IVAN,2004-09-20 18:00:00,26.4,-79.1,28.0,56.0,20.0,
584253,2004247N10332,2004,,IVAN,2004-09-20 21:00:00,26.18,-79.36,27.0,56.0,20.0,
584254,2004247N10332,2004,,IVAN,2004-09-21 00:00:00,26.1,-79.7,27.0,55.0,20.0,
584255,2004247N10332,2004,,IVAN,2004-09-21 03:00:00,25.98,-80.11,27.0,54.0,20.0,
584256,2004247N10332,2004,,IVAN,2004-09-21 06:00:00,25.9,-80.6,26.0,53.0,20.0,
584257,2004247N10332,2004,,IVAN,2004-09-21 09:00:00,25.88,-81.13,26.0,53.0,20.0,
584258,2004247N10332,2004,,IVAN,2004-09-21 12:00:00,25.8,-81.7,25.0,52.0,20.0,
584259,2004247N10332,2004,,IVAN,2004-09-21 15:00:00,25.52,-82.24,25.0,51.0,20.0,
584260,2004247N10332,2004,,IVAN,2004-09-21 18:00:00,25.2,-82.8,25.0,50.0,20.0,
584261,2004247N10332,2004,,IVAN,2004-09-21 21:00:00,24.93,-83.38,24.0,50.0,20.0,
584262,2004247N10332,2004,,IVAN,2004-09-22 00:00:00,24.8,-84.1,24.0,49.0,20.0,
584263,2004247N10332,2004,,IVAN,2004-09-22 03:00:00,24.85,-85.11,24.0,48.0,20.0,
584264,2004247N10332,2004,,IVAN,2004-09-22 06:00:00,25.1,-86.1,23.0,47.0,20.0,
584265,2004247N10332,2004,,IVAN,2004-09-22 09:00:00,25.53,-86.75,23.0,46.0,20.0,
584266,2004247N10332,2004,,IVAN,2004-09-22 12:00:00,26.0,-87.3,22.0,46.0,20.0,
584267,2004247N10332,2004,,IVAN,2004-09-22 15:00:00,26.27,-87.97,22.0,45.0,20.0,
584268,2004247N10332,2004,,IVAN,2004-09-22 18:00:00,26.5,-88.6,22.0,44.0,20.0,
584269,2004247N10332,2004,,IVAN,2004-09-22 21:00:00,26.78,-89.04,21.0,43.0,20.0,
584270,2004247N10332,2004,,IVAN,2004-09-23 00:00:00,27.1,-89.5,21.0,43.0,20.0,
584271,2004247N10332,2004,,IVAN,2004-09-23 03:00:00,27.47,-90.23,21.0,42.0,20.0,
584272,2004247N10332,2004,,IVAN,2004-09-23 06:00:00,27.9,-91.0,20.0,41.0,20.0,
584273,2004247N10332,2004,,IVAN,2004-09-23 09:00:00,28.44,-91.67,20.0,40.0,20.0,
584274,2004247N10332,2004,,IVAN,2004-09-23 12:00:00,28.9,-92.2,20.0,40.0,20.0,
584275,2004247N10332,2004,,IVAN,2004-09-23 15:00:00,29.09,-92.5,20.0,40.0,,
584276,2004247N10332,2004,,IVAN,2004-09-23 18:00:00,29.2,-92.7,20.0,40.0,,
584277,2004247N10332,2004,,IVAN,2004-09-23 21:00:00,29.37,-92.87,,,,
584278,2004247N10332,2004,,IVAN,2004-09-24 00:00:00,29.6,-93.2,,,,
584279,2004247N10332,2004,,IVAN,2004-09-24 02:00:00,29.8,-93.6,,,,
584280,2004247N10332,2004,,IVAN,2004-09-24 03:00:00,29.89,-93.78,,,,
