,SID,SEASON,BASIN,NAME,ISO_TIME,LAT,LON,R34_,R34,R50,R64
584103,2004247N10332,2004,,IVAN,2004-09-02 18:00:00,9.7,-27.6,,,,
584104,2004247N10332,2004,,IVAN,2004-09-02 21:00:00,9.7,-28.11,,,,
584105,2004247N10332,2004,,IVAN,2004-09-03 00:00:00,9.7,-28.7,,,,
584106,2004247N10332,2004,,IVAN,2004-09-03 03:00:00,9.71,-29.45,,,,
584107,2004247N10332,2004,,IVAN,2004-09-03 06:00:00,9.7,-30.3,,50.0,,
584108,2004247N10332,2004,,IVAN,2004-09-03 09:00:00,9.62,-31.21,,50.0,,
584109,2004247N10332,2004,,IVAN,2004-09-03 12:00:00,9.5,-32.1,,50.0,,
584110,2004247N10332,2004,,IVAN,2004-09-03 15:00:00,9.4,-32.88,,55.0,,
584111,2004247N10332,2004,,IVAN,2004-09-03 18:00:00,9.3,-33.6,125.0,60.0,,
584112,2004247N10332,2004,,IVAN,2004-09-03 21:00:00,9.2,-34.3,125.0,60.0,,
584113,2004247N10332,2004,,IVAN,2004-09-04 00:00:00,9.1,-35.0,125.0,60.0,,
584114,2004247N10332,2004,,IVAN,2004-09-04 03:00:00,8.98,-35.73,112.0,60.0,,
584115,2004247N10332,2004,,IVAN,2004-09-04 06:00:00,8.9,-36.5,100.0,60.0,25.0,
584116,2004247N10332,2004,,IVAN,2004-09-04 09:00:00,8.88,-37.34,100.0,60.0,22.0,
584117,2004247N10332,2004,,IVAN,2004-09-04 12:00:00,8.9,-38.2,100.0,60.0,20.0,
584118,2004247N10332,2004,,IVAN,2004-09-04 15:00:00,8.93,-39.07,80.0,60.0,20.0,
584119,2004247N10332,2004,,IVAN,2004-09-04 18:00:00,9.0,-39.9,60.0,60.0,20.0,
584120,2004247N10332,2004,,IVAN,2004-09-04 21:00:00,9.14,-40.63,60.0,75.0,25.0,
584121,2004247N10332,2004,,IVAN,2004-09-05 00:00:00,9.3,-41.4,60.0,90.0,30.0,
584122,2004247N10332,2004,,IVAN,2004-09-05 03:00:00,9.4,-42.39,75.0,90.0,35.0,
584123,2004247N10332,2004,,IVAN,2004-09-05 06:00:00,9.5,-43.4,90.0,90.0,40.0,20.0
584124,2004247N10332,2004,,IVAN,2004-09-05 09:00:00,9.63,-44.27,80.0,90.0,40.0,20.0
584125,2004247N10332,2004,,IVAN,2004-09-05 12:00:00,9.8,-45.1,70.0,90.0,40.0,20.0
584126,2004247N10332,2004,,IVAN,2004-09-05 15:00:00,9.99,-45.95,80.0,90.0,40.0,20.0
584127,2004247N10332,2004,,IVAN,2004-09-05 18:00:00,10.2,-46.8,90.0,90.0,40.0,20.0
584128,2004247N10332,2004,,IVAN,2004-09-05 21:00:00,10.41,-47.63,95.0,95.0,45.0,25.0
584129,2004247N10332,2004,,IVAN,2004-09-06 00:00:00,10.6,-48.5,100.0,100.0,50.0,30.0
584130,2004247N10332,2004,,IVAN,2004-09-06 03:00:00,10.71,-49.48,100.0,100.0,50.0,30.0
584131,2004247N10332,2004,,IVAN,2004-09-06 06:00:00,10.8,-50.5,100.0,100.0,50.0,30.0
