StateDescription,StateCode,1950,2016
Alabama,AL,3061743,4863300
Alaska,AK,128643,741894
Arizona,AZ,749587,6931071
Arkansas,AR,1909511,2988248
California,CA,10586223,39250017
Colorado,CO,1325089,5540545
Connecticut,CT,2007280,3576452
Delaware,DE,318085,952065
Florida,FL,2771305,20612439
Georgia,GA,3444578,10310371
Hawaii,HI,499794,1428557
Idaho,ID,588637,1683140
Illinois,IL,8712176,12801539
Indiana,IN,3934224,6633053
Iowa,IA,2621073,3134693
Kansas,KS,1905299,2907289
Kentucky,KY,2944806,4436974
Louisiana,LA,2683516,4681666
Maine,ME,913774,1331479
Maryland,MD,2343001,6016447
Massachusetts,MA,4690514,6811779
Michigan,MI,6371766,9928300
Minnesota,MN,2982483,5519952
Mississippi,MS,2178914,2988726
Missouri,MO,3954653,6093000
Montana,MT,591024,1042520
Nebraska,NE,1325510,1907116
Nevada,NV,160083,2940058
New Hampshire,NH,533242,1334795
New Jersey,NJ,4835329,8944469
New Mexico,NM,681187,2081015
New York,NY,14830192,19745289
North Carolina,NC,4061929,10146788
North Dakota,ND,619636,757952
Ohio,OH,7946627,11614373
Oklahoma,OK,2233351,3923561
Oregon,OR,1521341,4093465
Pennsylvania,PA,10498012,12784227
Puerto Rico,PR,2205398,3400000
Rhode Island,RI,791896,1056426
South Carolina,SC,2117027,4961119
South Dakota,SD,652740,865454
Tennessee,TN,3291718,6651194
Texas,TX,7711194,27862596
Utah,UT,688862,3051217
Vermont,VT,377747,624594
Virginia,VA,3318680,8411808
Washington,WA,2378963,7288000
Washington DC,DC,2378963,7288000
West Virginia,WV,2005552,1831102
Wisconsin,WI,3434575,5778708
Wyoming,WY,290529,585501
