year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1950,1950243N15304,DOG,,NA,multi,IRL,36.8,71.6,421996.0,56019288638.0,1204.0,180952957.0,0.0,0.0
1950,1950243N15304,DOG,,NA,multi,KNA,52.9,102.9,43069.0,0.0,43069.0,0.0,2873.0,0.0
1950,1950243N15304,DOG,,NA,multi,MSR,48.5,94.3,6201.0,0.0,6201.0,0.0,0.0,0.0
1950,1950243N15304,DOG,,NA,multi,PRI,21.6,42.0,14429.0,232644031.0,0.0,0.0,0.0,0.0
1950,1950243N15304,DOG,,NA,multi,VIR,28.1,54.6,54680.0,0.0,0.0,0.0,0.0,0.0
1950,1950247N15145,KEZIA,,WP,multi,JPN,46.4,90.1,20049254.0,2.70049201045e+12,3793909.0,5.7433604843e+11,0.0,0.0
1950,1950247N15145,KEZIA,,WP,multi,RUS,35.1,68.2,1963.0,16638560.0,0.0,0.0,0.0,0.0
1950,1950249N15115,UNNAMED,,WP,single,VNM,21.6,41.9,534083.0,2775426531.0,0.0,0.0,0.0,0.0
1950,1950261N27138,MISSATHA,,WP,single,JPN,31.0,60.3,8194.0,1220940667.0,0.0,0.0,0.0,0.0
1950,1950269N05153,OSSIA,,WP,multi,CHN,36.4,70.8,22746016.0,6.30514142934e+11,0.0,0.0,0.0,0.0
1950,1950269N05153,OSSIA,,WP,multi,HKG,32.7,63.6,8148473.0,1.22601739968e+12,0.0,0.0,0.0,0.0
1950,1950269N05153,OSSIA,,WP,multi,PHL,46.9,91.2,14186479.0,1.16108480678e+11,9588299.0,62210968597.0,0.0,0.0
1950,1950270N19114,UNNAMED,,WP,single,CHN,20.4,39.7,2611138.0,57823732612.0,0.0,0.0,0.0,0.0
1950,1950270N25309,GEORGE,,NA,multi,CAN,28.7,55.7,271340.0,25592486015.0,0.0,0.0,0.0,0.0
1950,1950270N25309,GEORGE,,NA,multi,FRO,22.9,44.5,36914.0,0.0,0.0,0.0,0.0,0.0
1950,1950274N26272,HOW,,NA,single,MEX,21.3,41.4,33449.0,1211877984.0,0.0,0.0,0.0,0.0
1950,1950281N23270,ITEM,,NA,single,MEX,50.2,97.6,9383974.0,1.51617097496e+11,2122813.0,32934644283.0,472.0,20253749.0
1950,1950286N16276,KING,,NA,multi,BHS,45.0,87.5,64536.0,3205497339.0,0.0,0.0,0.0,0.0
1950,1950286N16276,KING,,NA,multi,CUB,50.5,98.1,4568061.0,43158239895.0,1289009.0,12556408480.0,14215.0,188890554.0
1950,1950286N16276,KING,,NA,multi,HND,19.0,36.8,586.0,10129221.0,0.0,0.0,0.0,0.0
1950,1950286N16276,KING,,NA,multi,JAM,34.7,67.5,1273836.0,10892077094.0,36.0,0.0,0.0,0.0
1950,1950286N16276,KING,,NA,multi,USA,65.7,127.7,18781189.0,3.68330367567e+12,11761823.0,2.20709517376e+12,4725185.0,8.17383700899e+11
1950,1950291N26271,LOVE,,NA,single,USA,39.9,77.5,6247354.0,1.3083547939e+12,51706.0,14289888961.0,0.0,0.0
1950,1950301N09138,RUBY,,WP,single,JPN,19.8,38.6,6811.0,1012022675.0,0.0,0.0,0.0,0.0
1950,1950305N12145,CLARA,,WP,single,JPN,59.0,114.7,1305061.0,1.16188193005e+11,1266266.0,1.10754247936e+11,226669.0,22302191383.0
