,SID,NAME,SEASON,COUNTRY,pop_max_34,pop_max_50,pop_max_64
0,1949163N07145,DELLA,1949,Japan,16431894.0,7958809.0,4553851.0
1,1949163N07145,DELLA,1949,South Korea,26485.90234375,0.0,0.0
2,1950241N23140,JANE,1950,Japan,43343320.0,21380746.0,13972339.0
3,1951224N12316,CHARLIE,1951,Dominican Rep.,681.3667602539062,0.0,0.0
4,1951224N12316,CHARLIE,1951,Haiti,315426.9375,0.0,0.0
5,1951224N12316,CHARLIE,1951,Jamaica,2753687.5,2750167.0,1948090.75
6,1951224N12316,CHARLIE,1951,Mexico,8146825.0,3535850.25,2489067.75
7,1951337N09150,AMY,1951,Philippines,14131997.0,8926450.0,3309632.25
8,1952180N05144,EMMA,1952,China,18543972.0,4845178.5,2775117.5
9,1952180N05144,EMMA,1952,Philippines,15232730.0,8281656.5,5903694.0
10,1952180N05144,EMMA,1952,Vietnam,1043720.0,134245.78125,38714.37890625
11,1952287N09148,TRIX,1952,Cambodia,1141577.875,39863.55859375,0.0
12,1952287N09148,TRIX,1952,Laos,1501288.25,709251.625,339632.78125
13,1952287N09148,TRIX,1952,Philippines,34190456.0,7210108.0,2687119.75
14,1952287N09148,TRIX,1952,Thailand,4971219.0,1635227.75,695323.875
15,1952287N09148,TRIX,1952,Vietnam,6941388.0,1855877.25,673488.875
16,1952296N06152,WILMA,1952,Cambodia,3245710.0,579047.6875,265984.0625
17,1952296N06152,WILMA,1952,Laos,2022602.5,855959.625,441046.625
18,1952296N06152,WILMA,1952,Philippines,14100206.0,2670301.25,989905.4375
19,1952296N06152,WILMA,1952,Thailand,5737499.0,2029738.0,962939.4375
20,1952296N06152,WILMA,1952,Vietnam,5744718.0,2738129.5,1277301.5
21,1954278N12302,HAZEL,1954,Bahamas,11.392637252807617,0.0,0.0
22,1954278N12302,HAZEL,1954,Canada,7302945.5,727518.875,359721.25
23,1954278N12302,HAZEL,1954,Colombia,23547.58203125,0.0,0.0
24,1954278N12302,HAZEL,1954,Cuba,70961.9921875,0.0,0.0
25,1954278N12302,HAZEL,1954,Haiti,5569905.5,1429260.375,668713.5
26,1954278N12302,HAZEL,1954,Trinidad and Tobago,24583.9453125,0.0,0.0
27,1954278N12302,HAZEL,1954,United States of America,24720868.0,11402312.0,4696245.5
28,1954278N12302,HAZEL,1954,Venezuela,48.04595184326172,0.0,0.0
29,1955255N19294,HILDA,1955,Belize,2966.66259765625,0.0,0.0
30,1955255N19294,HILDA,1955,Cuba,4284292.0,2458382.25,1700414.75
31,1955255N19294,HILDA,1955,Dominican Rep.,3454418.75,0.0,0.0
32,1955255N19294,HILDA,1955,Haiti,3440551.5,120706.0234375,0.0
