,SID,NAME,SEASON,COUNTRY,pop_max_34,pop_max_50,pop_max_64
0,1961241N18117,NOT_NAMED,1961,China,88321680.0,59702504.0,28428364.0
1,1964319N08141,LOUISE:MARGE,1964,Philippines,68085416.0,54296148.0,26605370.0
2,1965205N07163,IVY:JEAN,1965,China,965623.375,287956.96875,116437.3046875
3,1965205N07163,IVY:JEAN,1965,Japan,17787336.0,13480381.0,9344946.0
4,1965205N07163,IVY:JEAN,1965,Russia,1399805.375,932266.1875,437836.875
5,1966317S08161,ANGELA,1967,Solomon Is.,320003.28125,277797.21875,157551.71875
6,1968345S09162,BECKY,1969,Solomon Is.,313129.875,222554.484375,86276.984375
7,1968345S09162,BECKY,1969,Vanuatu,62165.84375,19926.2578125,0.0
8,1972293S08182,BEBE,1973,Angola,11799507.0,0.0,0.0
9,1972293S08182,BEBE,1973,Argentina,12300.435546875,0.0,0.0
10,1972293S08182,BEBE,1973,Australia,429163.15625,366027.625,122528.4140625
11,1972293S08182,BEBE,1973,Bolivia,2121364.0,850783.125,479587.6875
12,1972293S08182,BEBE,1973,Botswana,779277.25,485120.875,245480.765625
13,1972293S08182,BEBE,1973,Brazil,53235924.0,20178418.0,14685863.0
14,1972293S08182,BEBE,1973,Chile,503584.5625,276598.6875,179848.96875
15,1972293S08182,BEBE,1973,Dem. Rep. Congo,13482083.0,0.0,0.0
16,1972293S08182,BEBE,1973,Fiji,718743.5625,661326.5625,626987.25
17,1972293S08182,BEBE,1973,Indonesia,104018056.0,0.0,0.0
18,1972293S08182,BEBE,1973,Madagascar,11452683.0,4838543.5,3134893.0
19,1972293S08182,BEBE,1973,Malawi,875705.375,0.0,0.0
20,1972293S08182,BEBE,1973,Mozambique,3839390.0,2001013.25,1237932.0
21,1972293S08182,BEBE,1973,Namibia,337832.6875,209625.609375,138864.890625
22,1972293S08182,BEBE,1973,New Caledonia,65014.30859375,32576.84375,15165.24609375
23,1972293S08182,BEBE,1973,Papua New Guinea,1615506.25,0.0,0.0
24,1972293S08182,BEBE,1973,Paraguay,45926.60546875,23642.693359375,14177.736328125
25,1972293S08182,BEBE,1973,Peru,6542075.5,0.0,0.0
26,1972293S08182,BEBE,1973,Solomon Is.,342862.1875,0.0,0.0
27,1972293S08182,BEBE,1973,Tanzania,16074799.0,0.0,0.0
28,1972293S08182,BEBE,1973,Timor-Leste,1121230.125,0.0,0.0
29,1972293S08182,BEBE,1973,Zambia,2349335.25,0.0,0.0
30,1972293S08182,BEBE,1973,Zimbabwe,6712816.0,4599664.5,3315907.0
31,1974017S20150,NOT_NAMED,1974,Australia,0.0,0.0,0.0
32,1977206N24137,VERA,1977,China,110301392.0,53034408.0,34119064.0
33,1977206N24137,VERA,1977,Taiwan,16907098.0,13903679.0,11291064.0
34,1977227N24144,NOT_NAMED,1977,Japan,66295808.0,47578628.0,41382812.0
35,1978347S20041,ANGELE,1979,Madagascar,5134549.5,2189825.75,1426410.875
36,1978347S20041,ANGELE,1979,Mozambique,9121490.0,4016954.0,2876711.0
37,1978347S23406,ANGELE,1979,Madagascar,3393601.25,1201204.0,578120.1875
38,1983010S08049,ELINAH,1983,Mozambique,6062628.5,1701050.875,606656.3125
39,1985268N03161,BRENDAN,1985,China,27000.927734375,33510572.0,0.0
40,1985268N03161,BRENDAN,1985,Japan,7822351.5,5765686.0,539787.75
41,1985268N03161,BRENDAN,1985,Philippines,0.0,19355.291015625,0.0
42,1985268N03161,BRENDAN,1985,South Korea,11395702.0,13258781.0,2005040.75
43,1985268N03161,BRENDAN,1985,Taiwan,10354517.0,20181648.0,0.0
44,1985320N21296,KATE,1985,Bahamas,24.20123863220215,0.0,0.0
45,1985320N21296,KATE,1985,Cuba,9427371.0,6457536.0,5195708.0
46,1985320N21296,KATE,1985,Dominican Rep.,46076.52734375,0.0,0.0
47,1985320N21296,KATE,1985,Haiti,4945.2275390625,0.0,0.0
48,1985320N21296,KATE,1985,United States of America,10488159.0,5435029.5,3834262.5
49,1988285N09318,JOAN:MIRIAM,1988,Colombia,6264612.0,3939626.0,751504.875
50,1988285N09318,JOAN:MIRIAM,1988,Costa Rica,946137.0,21086.873046875,0.0
51,1988285N09318,JOAN:MIRIAM,1988,El Salvador,6082197.5,5388182.5,1300464.5
52,1988285N09318,JOAN:MIRIAM,1988,Guatemala,13011591.0,4323352.0,929737.1875
53,1988285N09318,JOAN:MIRIAM,1988,Honduras,2770227.75,253751.25,0.0
54,1988285N09318,JOAN:MIRIAM,1988,Mexico,1183753.625,456153.25,5584.11181640625
55,1988285N09318,JOAN:MIRIAM,1988,Nicaragua,5642400.5,4371242.0,3426358.25
56,1988285N09318,JOAN:MIRIAM,1988,Panama,123312.0234375,0.0,0.0
57,1988285N09318,JOAN:MIRIAM,1988,Trinidad and Tobago,939692.75,0.0,0.0
58,1988285N09318,JOAN:MIRIAM,1988,Venezuela,15871324.0,844272.5625,392202.71875
59,1989246N16159,SARAH,1989,China,42324576.0,18969194.0,12360610.0
60,1989246N16159,SARAH,1989,Philippines,17228.1640625,0.0,0.0
61,1989246N16159,SARAH,1989,Taiwan,20181648.0,20181648.0,10322193.0
62,1989254N13340,HUGO,1989,Canada,19294816.0,10974346.0,3278820.25
63,1989254N13340,HUGO,1989,Puerto Rico,3555770.5,3045746.0,2290660.0
64,1989254N13340,HUGO,1989,United States of America,27264112.0,15304068.0,9449730.0
65,1990203N09318,ARTHUR,1990,Dominican Rep.,8404.0732421875,0.0,0.0
66,1990203N09318,ARTHUR,1990,Haiti,524905.375,0.0,0.0
67,1990203N09318,ARTHUR,1990,Trinidad and Tobago,1286384.75,379872.96875,387.771240234375
68,1990203N09318,ARTHUR,1990,Venezuela,102932.203125,0.0,0.0
69,1990327S07175,SINA,1991,Angola,65195.98046875,0.0,0.0
70,1990327S07175,SINA,1991,Australia,35936.71875,0.0,9772.91796875
71,1990327S07175,SINA,1991,Bolivia,1490512.625,22046.3359375,124339.7734375
72,1990327S07175,SINA,1991,Botswana,0.0,3514.90234375,16076.1171875
